Claart,Fecfac,Cant,Clacli,Clatipcli
01CEMBIG,23/05/19,4.0,MAAG76,1
01CEMBIG,23/05/19,4.0,MAAG76,1
01CEMBIG,23/05/19,4.0,MAAG76,1
05ABRPVC312,23/05/19,5.0,PSP14,0
05SILL124,23/05/19,7.0,PSP14,0
01CEMAGR,24/05/19,14.09,MAAG76,1
01CEMAGR,24/05/19,1.86,MAAG76,1
01CEMAGR,25/05/19,40.06,MAAG76,1
01ARM124,27/05/19,144.0,GAVL91,0
01CEMAGR,29/05/19,40.4,MAAG76,1
01ARM1538,30/05/19,40.0,MAAG76,1
01ARM1543,31/05/19,100.0,GCI09,0
01CEMCAZ50,31/05/19,43.0,GCI09,0
01ARM1543,01/06/19,100.0,GCI09,0
01CEMCAZ50,01/06/19,40.0,GCI09,0
01ARM124,03/06/19,144.0,GAVL91,0
01ALREC,03/06/19,50.0,MAAG76,1
01ARM1538,03/06/19,10.0,MAAG76,1
01CAS606020,04/06/19,95.0,POZA83,0
01CEMBIG,04/06/19,4.0,MAAG76,1
01CEMAGR,04/06/19,13.52,MAAG76,1
01MALSOL10,05/06/19,600.0,MAAG76,1
01MALSOL6,05/06/19,100.0,MAAG76,1
01CEMCAZ50,05/06/19,40.0,MRS818,0
01ARM124,05/06/19,62.0,GAVL91,0
01CAS606020,05/06/19,165.0,POZA83,0
01CEMAGR,06/06/19,39.93,MAAG76,1
01ARM1538,06/06/19,20.0,MAAG76,1
01CEMAGR,08/06/19,19.1,MAAG76,1
01CAS606020,10/06/19,4.0,POZA83,0
01CEMAGR,11/06/19,16.93,MAAG76,1
01ARM1543,11/06/19,100.0,GCI09,0
01CEMCAZ50,11/06/19,40.0,GCI09,0
01CEMAGR,12/06/19,14.38,TOMJ86,0
01CEMBIG,12/06/19,2.0,MRS2157,0
01CEMAGR,13/06/19,0.95,TOMJ86,0
01CEMCAZ50,14/06/19,30.0,RORP84,3
05TINRT2500,14/06/19,1.0,MAL630,0
06CORT24B,14/06/19,2.0,MAL630,0
06NAVA6,14/06/19,1.0,MAL630,0
06PL4,14/06/19,5.0,MAL630,0
06POLH1,14/06/19,13.0,MAL630,0
01CEMBIG,15/06/19,10.0,MAL630,0
01GM,15/06/19,53.2,MAL630,0
01CEMCAZ50,15/06/19,77.0,GCI09,0
01CEMBIG,19/06/19,2.0,MRS2157,0
01VAR38,20/06/19,30.0,MRS2043,0
01VAR38,20/06/19,55.0,BECL90,0
01VAR38,20/06/19,45.0,BECL90,0
08TUBCPVC12,21/06/19,10.0,ROCC83,0
03TC301,21/06/19,40.0,ROCC83,0
06CINAIS6018,21/06/19,2.0,ROCC83,0
08TUBCPVC12,21/06/19,5.0,ROCC83,0
01CEMBIG,24/06/19,2.0,MRS2043,0
01CEMBIG,24/06/19,2.0,MRS2043,0
01VART6014,24/06/19,420.0,PSP14,0
01CEMCAZ50,25/06/19,100.0,PSP14,0
01CEMMCA50,25/06/19,100.0,PSP14,0
01YEM,25/06/19,7.0,PSP14,0
01CEMBIG,25/06/19,4.0,MRS2157,0
03TC301,27/06/19,45.0,ROCC83,0
01CEMBIG,28/06/19,10.0,MAL630,0
01CEMAGR,29/06/19,40.25,MAAG76,1
01CEMAGR,29/06/19,19.49,MAAG76,1
01CEMAGR,01/07/19,19.68,MAAG76,1
01CEMAGR,03/07/19,40.3,MAAG76,1
01CEMAGR,03/07/19,20.76,MAAG76,1
01CEMBIG,08/07/19,2.0,MRS2157,0
01CEMCAZ50,13/07/19,10.0,MRSZI022,0
01CEMCAZ50,16/07/19,10.0,MRSZI022,0
01CEMCAZ50,18/07/19,20.0,MRSZI022,0
01MALSOL6,19/07/19,200.0,MAAG76,1
01CEMCAZ50,20/07/19,10.0,MRSZI022,0
01CEMBIG,23/07/19,2.0,MRS2157,0
01CEMCAZ50,24/07/19,2.0,MRSZINAQ,0
01CEMCAZ50,24/07/19,8.0,MRSZINAQ,0
01VAR38,24/07/19,100.0,MRSZINAQ,0
01CEMCAZ50,25/07/19,10.0,MRSZI022,0
01ARM1543,26/07/19,12.0,MAAG76,1
01CEMCAZ50,27/07/19,10.0,MRSZI022,0
01CEMCAZ50,27/07/19,200.0,MAL630,0
01ALREC,27/07/19,5.21,MAL630,0
01CEMCAZ50,29/07/19,10.0,MRSZI022,0
01ALAM,29/07/19,50.0,PSP14,0
01ARM123,29/07/19,60.0,PSP14,0
01ARM124,29/07/19,60.0,PSP14,0
