Claart,Cant,Dias_Totales,Clapro
0612583,3.0,2,THE7911
0612588,1.0,1,THE7911
0612589,20.0,1,THE7911
0612591,17.0,5,THE7911
0612592,2.0,1,THE7911
0612593,6.0,2,THE7911
0612640,1.0,1,THE7911
0612815,2.0,1,THE7911
0612838,1.0,1,THE7911
0612851,1.0,1,THE7911
0612860,2.0,1,THE7911
0612876,1.0,1,THE7911
0612909,2.0,1,THE7911
0612972,3.0,1,THE7911
0612973,3.0,1,THE7911
0612974,11.0,2,THE7911
0613214,1.0,1,THE7911
0613289,3.0,2,THE7911
0613292,21.0,7,THE7911
0613295,14.0,3,THE7911
0613413,1.0,1,THE7911
0613471,4.0,3,THE7911
0613512,1.0,1,THE7911
0613595,2.0,2,THE7911
0613879,2.0,1,THE7911
0613907,3.0,1,THE7911
0613954,2.0,1,THE7911
0614036,1.0,1,THE7911
0614182,1.0,1,THE7911
0614187,3.0,3,THE7911
0614216,1.0,1,THE7911
0614223,4.0,4,THE7911
0614240,2.0,2,THE7911
0614244,1.0,1,THE7911
0614246,1.0,1,THE7911
0614270,2.0,1,THE7911
0614286,6.0,3,THE7911
0614419,5.0,1,THE7911
0614448,1.0,1,THE7911
0614458,2.0,1,THE7911
0614578,3.0,3,THE7911
0614582,1.0,1,THE7911
0614607,1.0,1,THE7911
0614613,1.0,1,THE7911
0614687,2.0,2,THE7911
0615131,1.0,1,THE7911
0615209,1.0,1,THE7911
0615246,2.0,2,THE7911
0615248,7.0,2,THE7911
0615301,3.0,1,THE7911
0615369,3.0,1,THE7911
0615400,2.0,2,THE7911
0615408,2.0,1,THE7911
0615495,1.0,1,THE7911
0615502,2.0,1,THE7911
0615503,2.0,2,THE7911
0615690,1.0,1,THE7911
0615694,1.0,1,THE7911
0615906,2.0,1,THE7911
0615954,2.0,1,THE7911
0616026,1.0,1,THE7911
0616661,1.0,1,THE7911
0616683,3.0,3,THE7911
0616736,1.0,1,THE7911
0616920,1.0,1,THE7911
0616952,1.0,1,THE7911
0616956,2.0,2,THE7911
0616962,1.0,1,THE7911
0616965,2.0,2,THE7911
0616968,1.0,1,THE7911
0616969,1.0,1,THE7911
0616974,4.0,4,THE7911
0616977,3.0,2,THE7911
0616981,1.0,1,THE7911
0617034N,2.0,1,THE7911
0617065,1.0,1,THE7911
0617164,1.0,1,THE7911
0617303,1.0,1,THE7911
0617367,1.0,1,THE7911
0617419,1.0,1,THE7911
0617421,1.0,1,THE7911
0617437,1.0,1,THE7911
0617527,1.0,1,THE7911
0617529,1.0,1,THE7911
0617543,1.0,1,THE7911
0617550,5.0,4,THE7911
0617606,1.0,1,THE7911
0617624,1.0,1,THE7911
0617629,3.0,1,THE7911
0617831,3.0,1,THE7911
0617880,1.0,1,THE7911
0617960,1.0,1,THE7911
0618100,9.0,3,THE7911
0618101,3.0,2,THE7911
0618244,1.0,1,THE7911
0618318,1.0,1,THE7911
0618531,1.0,1,THE7911
0618574,1.0,1,THE7911
0618578,4.0,3,THE7911
0618592,1.0,1,THE7911
0618646,1.0,1,THE7911
0619073,6.0,2,THE7911
0619075,1.0,1,THE7911
0619204,29.0,4,THE7911
0619295,2.0,1,THE7911
0619658,3.0,2,THE7911
0619679,1.0,1,THE7911
0619680,1.0,1,THE7911
0619710,1.0,1,THE7911
0619963,2.0,1,THE7911
0620401,14.0,6,THE7911
0620402,8.0,6,THE7911
0620576,9.0,2,THE7911
0621025,30.0,3,THE7911
0621606,6.0,4,THE7911
0621624,3.0,2,THE7911
0621641,1.0,1,THE7911
0621690,3.0,1,THE7911
0621854,1.0,1,THE7911
0621855,1.0,1,THE7911
0622462,1.0,1,THE7911
0622502,2.0,1,THE7911
0623209,2.0,1,PSE73
0623512,2.0,1,THE7911
0625991,1.0,1,THE7911
0625993,1.0,1,THE7911
0626030,2.0,2,THE7911
0626031,1.0,1,THE7911
0627175,5.0,1,THE7911
06310841,1.0,1,ROT78
06320068,1.0,1,ROT78
0643030,3.0,2,THE7911
0643318,5.0,1,THE7911
0643319,6.0,2,THE7911
0643320,1.0,1,THE7911
0643321,1.0,1,THE7911
0643327,5.0,1,THE7911
0643338,2.0,1,THE7911
0643355,3.0,1,THE7911
0643427,3.0,1,THE7911
0643430,5.0,1,THE7911
0644020,4.0,1,THE7911
0644021,2.0,1,THE7911
0644075,2.0,2,THE7911
0644076,1.0,1,THE7911
0644099,12.0,2,THE7911
0644100,2.0,1,THE7911
0644213,200.0,1,THE7911
0644241,15.0,3,THE7911
0644242,10.0,1,THE7911
0644243,12.0,2,THE7911
0644245,2.0,1,THE7911
0644248,5.0,1,THE7911
0644309,3.0,1,THE7911
0644322,1.0,1,THE7911
0644323,6.0,5,THE7911
0644328,1.0,1,THE7911
0644330,3.0,2,THE7911
064434,1.0,1,THE7911
0644345,50.0,1,THE7911
0644347,500.0,1,THE7911
0644350,34.0,1,THE7911
0644378,10.0,1,PIM78
0644383,10.0,1,PIM78
0644412,20.0,1,TME05
0644486,20.0,1,THE7911
0644487,145.0,3,THE7911
0644489,25.0,3,THE7911
0645004,4.0,1,THE7911
0645067,1.0,1,THE7911
0645305,2.0,1,THE7911
0646102,8.0,4,THE7911
0646207,6.0,4,THE7911
0646226,5.0,2,THE7911
0646308,38.0,7,THE7911
0646331,1.0,1,THE7911
0647223,4.0,1,THE7911
0647311,5.0,1,THE7911
0647339,77.0,3,THE7911
0648006,1.0,1,THE7911
0648036,1.0,1,THE7911
0648150,11.0,7,THE7911
0648216,6.0,3,THE7911
0648690,300.0,1,THE7911
0648691,300.0,1,THE7911
0649033,1.0,1,THE7911
0649177,1.0,1,
0649185,3.0,1,THE7911
0649191,1.0,1,THE7911
0649221,1.0,1,THE7911
0649242,8.0,2,THE7911
0649245,5.0,1,THE7911
0649282,6.0,4,THE7911
0649283,8.0,1,THE7911
0649330,4.0,3,THE7911
0649370,1.0,1,THE7911
065385,2.0,1,GFE00
0657006,1.0,1,THE7911
0657008,1.0,1,THE7911
0657024,1.0,1,THE7911
0657095,1.0,1,THE7911
0662800,1.0,1,PIM78
06ABRA2,176.0,3,TIS97
06ABRA3,40.0,1,TIS97
06ABRASF10,27.0,3,THE7911
06ABRASF16,1.0,1,THE7911
06ABRASF4,12.0,2,THE7911
06ABRASF6,86.0,10,THE7911
06ABRASNF10,2.0,1,
06ABRASNF12,12.0,4,THE7911
06ABRC2,206.0,2,TIS97
06ACE31,1.0,1,THE7911
06AERDOSV,2.0,1,THE7911
06AEROAMM,3.0,1,THE7911
06AEROB,21.0,4,THE7911
06AEROC,1.0,1,THE7911
06AEROCR,3.0,2,THE7911
06AERONE,22.0,9,THE7911
06AERONEM,1.0,1,THE7911
06AERORM,8.0,4,THE7911
06AEROSLV,2.0,1,THE7911
06AEROSPL,4.0,3,THE7911
06AERT,2.0,2,THE7911
06ALAG145,13.0,6,THE7911
06ALAG16,4.0,1,DEA710
06ALAPJ34,14.0,3,DEA710
06ALPN34,9.0,2,APO69
06AMATRAF4,1.0,1,PID111103
06APH360,18.0,2,APO69
06ARC3,50.0,2,TIS97
06ARE,2.0,1,THE7911
06ARMCER2180,52.0,2,PIM78
06ARMCERA22100,50.0,1,PIM78
06ARMOR,3.0,1,
06BALCA,1.0,1,THE7911
06BC3164,3.0,1,THE7911
06BC585,9.0,2,GFE00
06BIHE2,2.0,1,TIS97
06BIM2,1.0,1,TIS97
06BLAN2005,4.0,3,PID111103
06BLOKVIDRIO,6.0,1,fce090923s92
06BOQB,5.0,3,PSE73
06BOQCACE,2.0,1,PSE73
06BRC144,2.0,2,THE7911
06BRC146,3.0,2,THE7911
06BRC386,4.0,4,THE7911
06BRC516,3.0,3,THE7911
06BRF116,1.0,1,THE7911
06BRF12,2.0,2,THE7911
06BRF14,2.0,2,THE7911
06BRF18,2.0,2,THE7911
06BRF316,8.0,4,THE7911
06BRF38,6.0,6,THE7911
06BRIC1,22.0,4,THE7911
06BRIC112,14.0,3,THE7911
06BRIC2,46.0,13,THE7911
06BRIC3,15.0,6,THE7911
06BRIC4,56.0,8,THE7911
06BRIC5,24.0,5,THE7911
06BRIC6,14.0,2,THE7911
06CABMZT,2.0,1,THE7911
06CADG18,6.0,2,THE7911
06CADP14,51.0,5,THE7911
06CAL40L,3.0,3,GFE00
06CAT60ND,5.0,3,THE7911
06CCA150,6.0,1,THE7911
06CDCCNP019,10.0,1,PEEF61
06CDTP019,73.0,2,PEEF61
06CDTP025,9.0,1,PEEF61
06CEMBKG,13.0,5,
06CHALB14667,2.0,2,THE7911
06CIL10,1.0,1,GFE00
06CIL30,1.0,1,PIM78
06CINAIS6018,108.0,17,THE7911
06CINT1,3.0,3,THE7911
06CINT12,71.0,13,THE7911
06CINT34,4.0,2,THE7911
06CLA1,1.2,4,DEA710
06CLA112,5.25,2,IAL83
06CLA2,8.25,5,DEA710
06CLA212,787.1,26,DEA710
06CLA3,3.125,2,IAL83
06CLA4,64.5,11,DEA710
06CLAC1,0.28,1,IAL83
06CLAC112,2.0,1,IAL83
06CLAC2,41.8,10,IAL83
06CLAC212,171.8,21,IAL83
06CLAP2,4.0,2,DEA710
06CMO2158,72.0,4,TIS97
06CODP12,245.0,6,PEEF61
06CODP3,263.0,5,PEEF61
06COLCA,1.0,1,CFI94
06COLCAZ,4.0,1,CFI94
06COLCN,16.0,2,CFI94
06COLCR,1.0,1,CFI94
06CONCR,18.0,2,THE7911
06CONMX12,4.0,1,THE7911
06CONT112,20.0,1,TIS97
06CONT138,14.0,1,TIS97
06COP112,10.0,1,TIS97
06CORT24B,3.0,3,THE7911
06CORTP,2.0,2,THE7911
06CUCH,1.0,1,THE7911
06CUCH21053,1.0,1,THE7911
06CUÑ,1.0,1,THE7911
06DESC516,2.0,1,THE7911
06DL740,1.0,1,THE7911
06EC12,1.0,1,THE7911
06ESCC,2.0,2,THE7911
06ESCJ22,7.0,2,THE7911
06ESM205D00100,2.0,1,PID111103
06ESP10,2.0,2,THE7911
06ESP381,3.0,1,TME05
06ESPA1,10.0,1,TME05
06ESPA12,1.0,1,GOPR82
06ESPA58,4.0,2,HHI05
06ESPC,52.0,1,TIS97
06ESPMA4,1.0,1,THE7911
06ESPON,40.0,7,GOPR82
06ESPONJ,27.0,3,GOPR82
06EX0113,1.0,1,PID111103
06EX011340,4.0,3,PID111103
06EX0777,1.0,1,PID111103
06FEL,38.0,4,THE7911
06FLEXC7,1.0,1,HHI05
06FLEXC9,1.0,1,FIN87
06FONDSG,1.0,1,PID111103
06FONDUK,9.0,5,PID111103
06FONSDS,2.0,1,PID111103
06FRANE,2.0,2,THE7911
06FRANG,2.0,2,THE7911
06GASTPC,11.0,2,THE7911
06GRAPG,21.5,4,DEA710
06GRAPG114,24.0,6,DEA710
06GRAPP6,4.0,2,THE7911
06GUAN,4.0,2,THE7911
06GUANH,23.0,2,THE7911
06GUAPVC,7.0,3,THE7911
06GUIA15,1.0,1,THE7911
06IMPERUN,3.0,1,THE7911
06IMPTR19,6.0,2,PIM78
06KOLAL,3.0,2,PIM78
06LA120,5.0,1,THE7911
06LAG125R,10.0,4,THE7911
06LAV60,10.0,1,PAGA650
06LI1000,2.0,2,THE7911
06LIJA99150,5.0,1,THE7911
06LIJA99220,5.0,1,THE7911
06LIJA99240,25.0,1,THE7911
06LIJA99280,5.0,1,THE7911
06LIJA99320,7.0,2,THE7911
06LIJAA99360,5.0,1,THE7911
06LIJAA99500,5.0,1,THE7911
06LIJAC99100,16.0,2,THE7911
06LIJAC99180,11.0,4,THE7911
06LIJACOB,6.0,4,THE7911
06LIJAESM,11.0,4,THE7911
06LIJAETG,1.0,1,THE7911
06LIJAJ7380,9.0,3,THE7911
06LIJAMA,3.0,1,THE7911
06LIJGRAN15,5.0,1,THE7911
06LIJGRAN20,25.0,2,THE7911
06LIMA8,1.0,1,THE7911
06LJABQEG150,1.0,1,GFE00
06LLANDC,3.0,1,THE7911
06LLAV12,1.0,1,THE7911
06LLAV38,1.0,1,THE7911
06LLAVES14,1.0,1,THE7911
06LMC11243,1.0,1,THE7911
06MAC22,1.0,1,THE7911
06MACI1015,300.0,2,IAL83
06MACI10175,4.0,1,DEA710
06MACI102,9.5,2,DEA710
06MACI121,240.0,1,DEA710
06MACI12125,200.0,3,DEA710
06MACI12150,40.0,2,DEA710
06MACI12175,104.0,3,DEA710
06MACI122,148.0,1,DEA710
06MACRI6,2.0,1,DEA710
06MAG120,45.0,1,DEA710
06MAG150,90.0,1,DEA710
06MAG175050,45.0,1,DEA710
06MAGPRO,2.0,1,PIM78
06MANG1ML,33.0,1,THE7911
06MANGPN,35.0,2,THE7911
06MANGU,4.0,1,DDS15
06MANIN34,15.0,1,DDS15
06MANPJARML,50.0,3,THE7911
06MANPN12,30.0,2,THE7911
06MANPN14,26.0,2,THE7911
06MANPNT38,18.0,2,THE7911
06MAPR02,3.0,1,
06MARROB2,1.0,1,THE7911
06MARROB3,2.0,2,THE7911
06MASHUL,1.0,1,THE7911
06MRT16,4.0,3,THE7911
06MS50,4.0,1,TPB94
06MULMG,20.0,1,DEA710
06NAVA6,1.0,1,THE7911
06NIV36,3.0,2,THE7911
06OINESMNEGAL,1.0,1,PID111103
06PALT,5.0,4,THE7911
06PASTSOLD,2.0,2,THE7911
06PEB1,8.0,5,PID111103
06PEB12,2.0,1,PID111103
06PEB4,5.0,2,PID111103
06PECEXG,1.0,1,PID111103
06PEGAMM,55.0,9,GFE00
06PEGM220,2.0,2,GFE00
06PEN1,10.0,6,PID111103
06PEN12,2.0,1,PID111103
06PEN4,1.0,1,PID111103
06PENM1,12.0,1,PID111103
06PEP,1.0,1,GFE00
06PER12,2.0,1,PID111103
06PES300A,4.0,3,GFE00
06PES300T,81.0,12,GFE00
06PES75,1.0,1,GFE00
06PESB,2.0,1,PID111103
06PESC,1.0,1,PID111103
06PESN,3.0,2,PID111103
06PESPPS,17.0,3,GFE00
06PEV1,2.0,1,PID111103
06PF81,50.0,1,IEC2205
06PI141,40.0,2,GOPR82
06PI142,225.0,1,GOPR82
06PIESROGL,3.0,1,
06PIJ10112,1464.0,8,IEC2205
06PIJ102,30.0,1,TME05
06PIJ10212,12.0,2,GOPR82
06PIJ8112,595.0,14,TME05
06PIJ83,114.0,3,IEC2205
06PIJ834,58.0,2,IEC2205
06PIJM8X1,340.0,2,THE7911
06PINE8,1.0,1,THE7911
06PINESMBCO,1.0,1,PID111103
06PINT300,1.0,1,THE7911
06PINTDL,1.0,1,PID111103
06PINTESMAZMOD,2.0,1,PERC80
06PIPC7,1.0,1,THE7911
06PISN10,1.0,1,THE7911
06PJ812,54.0,2,GOPR82
06PL4,194.0,10,GFE00
06PLASLOC,10.0,1,GFE00
06PLOMPAL,1.0,1,THE7911
06POLH1,170.0,2,GFE00
06POLH12,256.0,3,GFE00
06POLH34,600.0,3,GFE00
06POSTV6,50.0,3,SUA94
06PPC10,1.0,1,THE7911
06R09521,1.0,1,THE7911
06RAF1,1.0,1,THE7911
06RAF12,1.0,1,THE7911
06RAYPA,1.0,1,THE7911
06RB167,17.0,3,DEA710
06REDG1,5.0,1,DEA710
06REDG120,7.0,2,DEA710
06REDG140,1.0,1,DEA710
06REGIUSA1,6.0,4,THE7911
06RELOBDA,1.0,1,ROT78
06RODRUG,5.0,1,THE7911
06RSF175,1.0,1,PIM78
06SALPPC,1.0,1,GFE00
06SERRS20,3.0,1,THE7911
06SIK10,1.0,1,
06SILAUT,1.0,1,GFE00
06SKF,2.0,1,CAFC33
06SOL1,5.0,1,THE7911
06SUJMAT,1.0,1,THE7911
06T501,131.0,19,QGOM
06TALAHAB,1.0,1,THE7911
06TAPC138,14.0,1,TIS97
06TAPC3,22.0,3,TIS97
06TAPRE1,4.0,1,PIM78
06TAQ38,18.0,1,GOPR82
06TAQ516,100.0,1,GOPR82
06TAQA12312,43.0,4,GOPR82
06TAQA143,4.0,1,GOPR82
06TAQA383,125.0,5,TME05
06TAQE516,4.0,1,GOPR82
06TAQQC38,0.0,1,GOPR82
06TORG316212,6.0,1,TME05
06TORNIN,452.0,3,TIS97
06VACT010,10.0,5,GOPR82
06VALTE,1.0,1,GFE00
06VALVCH,0.0,1,THE7911
06VALVCO14,3.0,1,THE7911
06VELNFAM,1.0,1,IAHC45
06VELNFAZ,1.0,1,IAHC45
06VENFBL,1.0,1,IAHC45
06VENFGR,1.0,1,IAHC45
06VOLTAL,2.0,2,THE7911
06YESKG,13.0,5,
06pinesmaz1/2,2.0,1,PID111103
0827107,0.0,1,THE7911
0846001,2.0,1,THE7911
0846079,20.0,2,THE7911
0846113,2.0,2,THE7911
0846120,5.0,3,THE7911
0846122,1.0,1,THE7911
0846202,5.0,4,THE7911
0846284,2.0,1,THE7911
0846315,1.0,1,THE7911
0846509,22.0,2,THE7911
0846856,3.0,1,THE7911
0846858,50.0,4,THE7911
0846860,82.0,6,THE7911
0846931,6.0,1,PEEF61
0846973,2.0,1,PEEF61
0846985,7.0,2,THE7911
0847276,2.0,1,THE7911
0848018,1.0,1,THE7911
0848051,1.0,1,THE7911
0848130,23.0,3,THE7911
0848132,20.0,5,THE7911
0848133,7.0,3,THE7911
0848134,15.0,4,THE7911
0848136,3.0,2,
0848139,1.0,1,THE7911
0848215,4.0,2,THE7911
087593,22.0,1,
08ACOMAVT,6.0,5,PEEF61
08ACOMBI,6.0,5,PEEF61
08ACOMM114,6.0,5,PEEF61
08ACOMS23,3.0,1,PEEF61
08ACOMVC,7.0,6,PEEF61
08ACORED12,6.0,5,PEEF61
08AP48137,3.0,2,THE7911
08APAGMON,6.0,1,PEEF61
08APASA,2.0,1,THE7911
08BICCH10,6.0,1,PEEF61
08BICCH115,6.0,1,PEEF61
08BICCH8,38.0,3,PEEF61
08BICPALG,30.0,11,PIM78
08BP01MA,2.0,1,
08CAB10,82.0,2,GFE00
08CAB12,1560.0,8,GFE00
08CAB14,300.0,2,GFE00
08CAB8,300.0,7,GFE00
08CABEX16,20.0,1,THE7911
08CAJCHR,350.0,18,THE7911
08CAJO4R,304.0,19,THE7911
08CARHNGO,20.0,1,PEEF61
08CATH20K,85.0,1,PEEF61
08CC34,10.0,1,PEEF61
08CC34PG,39.0,1,PEEF61
08CCPTP34,4.0,1,PEEF61
08CCTP1,10.0,1,PEEF61
08CDCP013,5.0,1,PEEF61
08CENC1,3.0,2,PEEF61
08CENC2,14.0,7,PEEF61
08CODC1PG,2.0,1,PEEF61
08CON48135,6.0,1,THE7911
08CONC12,83.0,6,PEEF61
08CONDOC34,5.0,1,THE7911
08CONDOLB12,2.0,1,PEEF61
08CONMON,16.0,2,PEEF61
08CONPDAB,3.0,2,PEEF61
08CONSEN,21.0,2,THE7911
08COPCPG12,20.0,1,PEEF61
08COTOPE,1.0,1,PEEF61
08COUR12,2.0,1,PEEF61
08CSV48131,8.0,4,THE7911
08CUR212,30.0,1,GFE00
08E362501,1.0,1,PEEF61
08E362560,1.0,1,PEEF61
08E362561,15.0,1,PEEF61
08EXTENCID,1.0,1,THE7911
08FOCE13,3.0,2,THE7911
08FOCOO75,2.0,1,THE7911
08FZA512,1.0,1,GFE00
08FZA5129S,7.0,2,GFE00
08FZA68S,1.0,1,GFE00
08INTSOBRP,4.0,1,PEEF61
08PALB,1.0,1,THE7911
08PASQ15,1.0,1,PEEF61
08PASQ30,13.0,9,PEEF61
08PLAMON1,10.0,2,PEEF61
08PLAMON2,16.0,2,PEEF61
08POL1,100.0,1,GFE00
08POL12,1465.0,13,PEEF61
08POL1234,1644.0,15,GFE00
08POLF12,307.0,5,PEEF61
08POLF34,254.0,4,DDS15
08PVAL12,4.0,3,ROT78
08PVAL34,5.0,2,ROT78
08RON1,1.0,1,TME05
08RON12,24.0,2,TME05
08RON14,487.0,8,TME05
08RON316,106.0,3,TME05
08RON34,16.0,2,TME05
08RON38,305.0,11,TME05
08RON516,142.0,12,TME05
08RON58,8.0,1,TME05
08RONP12,5.0,1,GOPR82
08RONP14,200.0,1,GOPR82
08RONP38,171.0,3,GOPR82
08RONP516,2.0,1,GOPR82
08RONP58,50.0,1,GOPR82
08ROS4,94.0,9,GFE00
08SOQCCC,21.0,2,THE7911
08SOQS,22.0,2,THE7911
08TAPD,2.0,1,THE7911
08TAPDM,19.0,5,THE7911
08TF34,3.0,1,
08TOR121,8.0,1,GOPR82
08TOR122,10.0,2,GOPR82
08TOR123,25.0,3,TME05
08TOR125,6.0,1,TME05
08TOR141,2.0,1,TME05
08TOR14212,50.0,1,GOPR82
08TOR143,10.0,1,GOPR82
08TOR1434,100.0,1,TME05
08TOR381,20.0,3,GOPR82
08TOR38112,4.0,1,TME05
08TOR382,30.0,2,GOPR82
08TOR38212,7.0,3,GOPR82
08TOR383,5.0,1,GOPR82
08TOR384,24.0,2,TME05
08TOR5161,2.0,1,TME05
08TOR516112,7.0,2,GOPR82
08TOR516212,15.0,3,GOPR82
08TOR5163,24.0,2,GOPR82
08TOR5164,4.0,1,TME05
08TOR5165,4.0,1,TME05
08TOR58112,3.0,1,GOPR82
08TORC14112,201.0,4,GOPR82
08TORC14114,30.0,1,GOPR82
08TORC14212,10.0,1,GOPR82
08TORC383,164.0,2,GOPR82
08TORC385,14.0,2,GOPR82
08TORC5161,3.0,1,GOPR82
08TORC516212,31.0,3,GOPR82
08TORC516312,6.0,1,GOPR82
08TUBA114,8.0,6,PEEF61
08TUBC12PD,46.0,6,PEEF61
08TUBC34PG,8.0,1,PEEF61
08TUBCPVC112,3.0,1,PEEF61
08TUCON1,2.0,1,PEEF61
08TUE316,6.0,1,TME05
08TUER12,63.0,6,GOPR82
08TUER14,608.0,7,TME05
08TUER34,16.0,3,GOPR82
08TUER38,259.0,11,GOPR82
08TUER516,93.0,13,TME05
08TUER58,11.0,2,TME05
08TUER716,24.0,1,TME05
BHMO75ZI,208.0,6,
BHZI75,198.0,4,FHR1810
