Claart,Fecrem,Cant
06NIV36,26/03/20,1.0
03PR20020Z,26/03/20,6.4
01ALREC,26/03/20,1.5
0614577,26/03/20,1.0
06ARE,26/03/20,1.0
05PEGADO50,26/03/20,1.0
05PEGACPVC50,26/03/20,1.0
01CEMCAZ50,26/03/20,1.0
01CEMCAZ50,26/03/20,1.0
08CAJCHR,26/03/20,3.0
08POL12,26/03/20,4.0
06ALAG145,26/03/20,1.0
SRVBASIND,26/03/20,1.0
0646308,26/03/20,1.0
02PANN2,26/03/20,3.0
06ESPON,26/03/20,3.0
0818334,26/03/20,1.0
04HTAQ14,26/03/20,100.0
02TORS212,26/03/20,50.0
02TORS2,26/03/20,50.0
01ALREC,26/03/20,8.7
01ALAM,26/03/20,5.0
0611915,26/03/20,1.0
0616542,26/03/20,1.0
06LAG125R,26/03/20,1.0
06PJ812,26/03/20,8.0
SRVBASIND,26/03/20,1.0
08TAPD,26/03/20,1.0
08CAJCHR,26/03/20,2.0
08HSB,26/03/20,1.0
05TEEPVCIN12,26/03/20,1.0
06CINAIS6018,26/03/20,1.0
06ABRASF6,26/03/20,3.0
01ALAM,26/03/20,20.0
06CLA212,26/03/20,2.0
06CLAC2,26/03/20,1.0
01VAR38,26/03/20,20.0
0613337,26/03/20,2.0
0624740,26/03/20,1.0
06LIJ86G80,26/03/20,1.0
06LIJMG,26/03/20,1.0
03VCUA12,26/03/20,3.5
03123AR20,26/03/20,3.2
03TAB33,26/03/20,6.2
03101AL20,26/03/20,5.8
03121CH20,26/03/20,6.0
03M22518,26/03/20,7.6
03131MOS20,26/03/20,4.0
03PP30020,26/03/20,10.6
04HBISL3,26/03/20,9.0
04HPER,26/03/20,2.0
04HCR,26/03/20,4.0
06PEC1,26/03/20,1.0
04S105,26/03/20,1.0
03127TDC20,26/03/20,4.3
08CON48135,26/03/20,2.0
0848133,26/03/20,1.0
0848215,26/03/20,1.0
0846509,26/03/20,1.0
06CINAIS6018,26/03/20,1.0
0848215,26/03/20,1.0
08SOQCCC,26/03/20,1.0
05TUEUC34,27/03/20,1.0
06629811,27/03/20,1.0
0623240,27/03/20,1.0
01ALREC,27/03/20,3.0
06CLA112,27/03/20,0.25
01CEMCAZ50,27/03/20,1.0
06ESPON,27/03/20,1.0
06ESPON,27/03/20,1.0
06PES300T,27/03/20,1.0
06BRF964,27/03/20,1.0
SRVBASIND,27/03/20,1.0
04DISCAU778,27/03/20,10.0
01CEMCAZ50,27/03/20,4.0
01CAL,27/03/20,6.0
SRVBASIND,27/03/20,1.0
03K30020,27/03/20,6.0
01CEMCAZ50,27/03/20,2.0
01SON30,27/03/20,3.0
01PBC25,27/03/20,10.0
0620567,27/03/20,1.0
0612973,27/03/20,2.0
01CEMCAZ50,27/03/20,4.0
01ALREC,27/03/20,3.0
06PIJ10112,27/03/20,6.0
08RON14,27/03/20,6.0
03PERC050,27/03/20,5.6
01CEMCAZ50,27/03/20,4.0
01BLO10,27/03/20,100.0
06MULG55,27/03/20,20.0
01CEMCAZ50,27/03/20,2.0
01CAL,27/03/20,1.0
06CLAC2,27/03/20,10.0
06MS50,27/03/20,20.0
01CEMCAZ50,27/03/20,1.0
03POL36,27/03/20,45.6
06ARE,27/03/20,1.0
01CEMCAZ50,28/03/20,2.0
05COPCOB12,28/03/20,1.0
05VALESO12,28/03/20,1.0
06SOL1,28/03/20,1.0
0611915,28/03/20,1.0
0611925,28/03/20,1.0
05CODC1290,28/03/20,1.0
08CAJCHR,28/03/20,8.0
01SON40,28/03/20,4.0
05CODPL34,28/03/20,1.0
01CEMCAZ50,28/03/20,2.0
03POL36,28/03/20,7.2
03POL46,28/03/20,20.0
03PTR214,28/03/20,17.6
03PTR114,28/03/20,8.4
05TUBGALV51126,28/03/20,2.0
04HPASR15,28/03/20,1.0
01ALREC,28/03/20,3.0
03LA10126305,28/03/20,4.0
04HPPB14112,28/03/20,50.0
04HBISL3,28/03/20,3.0
06MACI122,28/03/20,7.0
0614449,28/03/20,1.0
06ESCJ22,28/03/20,1.0
01EC25,28/03/20,1.0
01CAL,28/03/20,1.0
01ES,28/03/20,1.0
06MS50,28/03/20,4.9
05TAPCPVC12,28/03/20,1.0
05TAPCPVC34,28/03/20,1.0
01CEMCAZ50,28/03/20,1.0
06AERONE,28/03/20,1.0
SRVBASIND,28/03/20,1.0
0614240,28/03/20,1.0
05NIPPI3412,28/03/20,2.0
06ABRASF6,28/03/20,4.0
06ABRASF8,28/03/20,2.0
05ADAPIM12,28/03/20,1.0
06CINT12,28/03/20,1.0
01ARM204,28/03/20,3.0
06BRIC2,28/03/20,1.0
06AERONE,28/03/20,1.0
04DISCAU778,28/03/20,2.0
03POL36,28/03/20,15.2
01BLO15,28/03/20,80.0
01CEMCAZ50,28/03/20,2.0
03POL36,28/03/20,30.4
03PP40018,28/03/20,8.8
04HSI2178,28/03/20,1.0
03154JUN20,28/03/20,3.6
03PTR114,28/03/20,25.2
06PIJ834,28/03/20,100.0
06T501,28/03/20,1.0
03K15018,28/03/20,5.6
01EC25,30/03/20,1.0
06SERRS20,04/04/20,1.0
0611673,04/04/20,1.0
0611674,04/04/20,1.0
0611688,04/04/20,1.0
0612590,04/04/20,1.0
06MAG10175,04/04/20,4.0
04HPPB141,03/09/20,2.0
08CAJO,03/09/20,2.0
04HVC,30/03/20,1.0
04HVO11,30/03/20,1.0
06MAG10175,30/03/20,45.0
06CODP12,30/03/20,50.0
06GRAPG114,30/03/20,3.0
06GRAPG,30/03/20,1.0
06ESPON,30/03/20,1.0
01ES,30/03/20,8.0
0846508,30/03/20,1.0
05TUBPVCN4,30/03/20,12.0
05COPPVC4,30/03/20,1.0
05CODPVC490,30/03/20,1.0
05PEGAD120,30/03/20,1.0
06MARR12,30/03/20,1.0
01CEMCAZ50,30/03/20,1.0
06CLAC3,30/03/20,0.25
01ALREC,30/03/20,0.25
04HPALCN,30/03/20,1.0
0644302,30/03/20,1.0
01CEMCAZ50,30/03/20,3.0
08CAJCHR,30/03/20,7.0
08POL1234,30/03/20,10.0
06CINAIS6018,30/03/20,1.0
01PBC25,30/03/20,5.0
01CAL,30/03/20,2.0
01CEMCAZ50,30/03/20,1.0
0624219,30/03/20,1.0
0613337,30/03/20,1.0
SRVBASIND,30/03/20,2.0
01CEMCAZ50,30/03/20,3.0
01CAL,30/03/20,3.0
01VAR38,30/03/20,10.0
05MFC12,30/03/20,100.0
06CODP12,30/03/20,8.0
01ALREC,30/03/20,10.0
01ARM204,30/03/20,4.0
01CEMCAZ50,30/03/20,4.0
01ALREC,30/03/20,2.0
0620402,31/03/20,2.0
06CLAC2,31/03/20,0.25
06CLA212,31/03/20,0.5
06ESPON,31/03/20,2.0
06ESPONJ,31/03/20,2.0
06ESCJ22,31/03/20,1.0
06MACI12150,31/03/20,10.0
01TES,31/03/20,165.0
0612977,31/03/20,1.0
01CAL,31/03/20,1.0
08ROS4,31/03/20,10.0
06CINAIS6018,31/03/20,1.0
0613294,31/03/20,1.0
01ALREC,31/03/20,10.0
01CEMCAZ50,31/03/20,1.0
01CEMCAZ50,31/03/20,6.0
08POL12,31/03/20,200.0
06ESPON,31/03/20,10.0
03M22518,31/03/20,22.8
01BAB1030,31/03/20,415.0
01ES,31/03/20,4.0
06PL4,31/03/20,58.4
0649057,31/03/20,1.0
01ARM204,31/03/20,6.0
01CEMCAZ50,31/03/20,7.0
01ALREC,31/03/20,3.0
0624740,31/03/20,1.0
06LLAPLO,31/03/20,1.0
0615490,31/03/20,1.0
0621474,31/03/20,1.0
0621459,31/03/20,1.0
06PINE8,31/03/20,1.0
06GASTPC,31/03/20,1.0
06PINZC8,31/03/20,1.0
0615510,31/03/20,1.0
0615400,01/04/20,1.0
01CAL,01/04/20,2.0
01CEMCAZ50,01/04/20,2.0
06GUANH,01/04/20,1.0
06ESPON,01/04/20,1.0
05TUBPVCN4,01/04/20,2.0
05CODPVC490,01/04/20,2.0
01CAL,01/04/20,1.0
05TEEPVC4,01/04/20,2.0
05CODPVC490,01/04/20,2.0
05REDPVC42,01/04/20,1.0
05CODPVC290,01/04/20,2.0
08POL12,01/04/20,30.0
01CEMCAZ50,01/04/20,50.0
05TUBPVCN4,01/04/20,6.0
05TUBPVCN2,01/04/20,6.0
05PEGAD120,01/04/20,1.0
06MAG10175,01/04/20,10.0
03LA7228550,01/04/20,1.0
03PR17518,01/04/20,3.0
05TUBGALV5138,01/04/20,1.0
04HPPB141,01/04/20,15.0
05TUBCPV12,01/04/20,42.7
05COPCP12,01/04/20,10.0
05CODCP9012,01/04/20,7.0
05TEECPVCC12,01/04/20,4.0
05VALERO12,01/04/20,3.0
05VALESO12,01/04/20,1.0
05TUEUCO12,01/04/20,1.0
05ADAPMC12,01/04/20,6.0
06LIJACOB,01/04/20,1.0
06SOL1,01/04/20,1.0
05PEGF150,01/04/20,1.0
06CORT24B,01/04/20,1.0
06BRF332,01/04/20,1.0
06ESPONJ,01/04/20,1.0
06BRC58,01/04/20,1.0
0619072,01/04/20,1.0
04HBISPR200,01/04/20,3.0
06CLA212,01/04/20,4.0
06CLA4,01/04/20,1.0
01CEMCAZ50,01/04/20,1.0
05TUBPVCN2,01/04/20,6.0
05CODPVC290,01/04/20,4.0
05PEGAD120,01/04/20,1.0
01CEMCAZ50,01/04/20,10.0
06DD781,01/04/20,2.0
03131MOS20,01/04/20,6.0
04TMOS75,01/04/20,3.0
04HSI2176,01/04/20,0.5
08CAB12,01/04/20,6.0
05LLAAST,01/04/20,1.0
08POL12,01/04/20,25.0
01CEMCAZ50,01/04/20,15.0
08CAJO,01/04/20,4.0
08CAJCHR,01/04/20,4.0
01ALREC,01/04/20,2.0
06CLA212,01/04/20,1.0
08CAJO,01/04/20,8.0
08CAJCHR,01/04/20,4.0
03LN31018,01/04/20,1.0
04HSI2176,01/04/20,1.0
06CINAIS6018,01/04/20,1.0
06GRAPP6,01/04/20,20.0
05COPPVC23,01/04/20,1.0
02TORS212,01/04/20,100.0
06MULG55,01/04/20,5.0
04TMOS75,01/04/20,4.0
06PIJ834,01/04/20,100.0
06BRF964,01/04/20,1.0
03PP10020,01/04/20,6.2
03RIEL18,01/04/20,3.7
03154JUN20,01/04/20,4.8
04DISCAU778,01/04/20,2.0
03103TS20,01/04/20,3.2
04HCR16,01/04/20,2.0
04HSI2176,01/04/20,0.5
01ES,01/04/20,10.0
03PTR34,02/04/20,3.15
06AEROSPL,02/04/20,1.0
01CEMCAZ50,02/04/20,1.0
01CEMCAZ50,02/04/20,1.0
05CODPVC490,02/04/20,1.0
08ROS4,02/04/20,1.0
06PIJ10112,02/04/20,6.0
SRVBASIND,02/04/20,1.0
05TUBPVCN4,02/04/20,42.0
05CODPVC490,02/04/20,2.0
05TEEPVC4,02/04/20,1.0
06PVCTAP4,02/04/20,1.0
05TAPPL12,02/04/20,1.0
01CEMCAZ50,02/04/20,2.0
01CEMCAZ50,02/04/20,2.0
01CAL,02/04/20,1.0
01CEMCAZ50,02/04/20,1.0
01CAL,02/04/20,1.0
01BLO15,02/04/20,50.0
01ALREC,02/04/20,5.0
01CEMCAZ50,02/04/20,3.0
05CODPVC290,02/04/20,4.0
05CODPVC245,02/04/20,4.0
05VA12HH,02/04/20,1.0
01CEMCAZ50,02/04/20,1.0
05VALERO12,02/04/20,2.0
05ADAPMC12,02/04/20,5.0
08CENC2,02/04/20,3.0
08CAB12,02/04/20,100.0
08POL12,02/04/20,100.0
08ROS4,02/04/20,8.0
08CAJCHR,02/04/20,10.0
0848136,02/04/20,8.0
087595,02/04/20,16.0
08APASA,02/04/20,8.0
06CINAIS6018,02/04/20,2.0
0622230,02/04/20,2.0
05TUBPL12,02/04/20,8.0
05CODPL12,02/04/20,20.0
05TEEPL12,02/04/20,10.0
05COPL12,02/04/20,15.0
05CONPH12,02/04/20,6.0
05TUBPL34,02/04/20,2.0
05CODPL34,02/04/20,4.0
05TEEPL34,02/04/20,4.0
05COPL34,02/04/20,4.0
0649252,02/04/20,1.0
05CONEXT12,02/04/20,4.0
05RBC1234,02/04/20,4.0
06SOLD50,02/04/20,1.0
05COPPVC4,02/04/20,2.0
03PC15018,02/04/20,8.6
03PR10020Z,02/04/20,3.2
03PERC050,02/04/20,2.8
03LA10126500,02/04/20,1.0
01CEMCAZ50,02/04/20,1.0
04HPPB14112,02/04/20,10.0
05PEGF150,02/04/20,1.0
06LIJACOB,02/04/20,1.0
0611673,02/04/20,2.0
04DISCAU778,02/04/20,10.0
06PALT,02/04/20,1.0
01CEMCAZ50,02/04/20,1.0
04HREM31634,02/04/20,100.0
08TOR142,02/04/20,10.0
08TUER14,02/04/20,10.0
03TAB33,02/04/20,6.2
03PP30020,02/04/20,10.6
04HBISL3,02/04/20,6.0
03M22518,02/04/20,7.6
03M22520Z,02/04/20,5.8
03121CH20,02/04/20,6.0
03127TDC20,02/04/20,4.3
03103TS20,02/04/20,3.2
01ARM204,03/04/20,1.0
01ALREC,03/04/20,3.0
06CLA212,03/04/20,1.0
01CEMCAZ50,02/04/20,5.0
06CODP12,02/04/20,10.0
01ARM124,02/04/20,2.0
01ALREC,02/04/20,1.0
01CEMCAZ50,02/04/20,7.0
01CEMCAZ50,02/04/20,5.0
03PR20020,02/04/20,3.2
06CLAC2,02/04/20,0.25
02TOR812,02/04/20,400.0
06MASC,02/04/20,10.0
05TUBPVCN2,02/04/20,6.0
05CODPVC290,02/04/20,3.0
05COPPVC23,02/04/20,2.0
01EST1515,02/04/20,90.0
01CAL,03/04/20,5.0
0614221,03/04/20,1.0
SRVBASIND,03/04/20,1.0
04HSI2178,03/04/20,1.0
03122ES20,03/04/20,2.9
06CLA212,03/04/20,2.0
01CEMCAZ50,03/04/20,4.0
01CEMCAZ50,03/04/20,3.0
01ES,03/04/20,2.0
05ANCLAV,03/04/20,2.0
0549365,03/04/20,1.0
06BRIC2,03/04/20,2.0
01PBC25,03/04/20,4.0
01CAL,03/04/20,1.0
04DISCAU778,03/04/20,2.0
06FRANE,03/04/20,1.0
01CEMCAZ50,03/04/20,1.0
05CODCPRI12,03/04/20,1.0
01BLO10,03/04/20,26.0
01CEMCAZ50,03/04/20,1.0
05COFF,03/04/20,1.0
04HFPM2G,03/04/20,8.0
01CEMCAZ50,03/04/20,3.0
SRVBASIND,03/04/20,1.0
05LLAAST,03/04/20,1.0
05TUBPVCN2,03/09/20,6.0
05CODPVC390,03/09/20,3.0
05CODPVC290,03/09/20,6.0
05PEGAD120,03/09/20,1.0
05TUBPVCN3,03/09/20,6.0
01CEMCAZ50,03/04/20,3.0
06CINPC,03/04/20,2.0
01PBC25,03/04/20,4.0
08CAJO,03/04/20,4.0
08POL12,03/04/20,20.0
06ARE,03/04/20,1.0
0618100,03/04/20,2.0
01CEMCAZ50,03/04/20,2.0
08CAB12,03/04/20,100.0
06CINAIS6018,03/04/20,1.0
0613513,03/04/20,1.0
0617758,03/04/20,1.0
0619074,03/04/20,1.0
0644486,03/04/20,15.0
06BLAN2005,03/04/20,1.0
06BRIC5,03/04/20,1.0
06BRIC6,03/04/20,1.0
0644242,03/04/20,8.0
06MACI12150,03/04/20,4.6
0612588,03/04/20,1.0
04HBISPR250,03/04/20,4.0
04HFPM2G,03/04/20,4.0
05CUECERCG,03/04/20,2.0
0649330,03/04/20,2.0
03POL46,03/04/20,120.0
03PR40018,03/04/20,15.8
SRVBASIND,03/04/20,1.0
04MARC,04/04/20,2.0
06LIJ86G80,04/04/20,3.0
05TUBCOM12,04/04/20,1.0
06LIJACOB,04/04/20,2.0
05CONPH12,04/04/20,1.0
06MAG175050,04/04/20,12.0
06TF12,04/04/20,1.0
05ABRU12,04/04/20,5.0
05ABRTO12,04/04/20,3.0
06CLA212,04/04/20,1.0
01VAR38,04/04/20,1.0
06GRAPP5,04/04/20,80.0
06GRAPP10,04/04/20,20.0
05TUBPL12,04/04/20,1.0
0846122,04/04/20,2.0
05CODCP9012,04/04/20,1.0
05COPCP12,04/04/20,1.0
04MARC,04/04/20,2.0
01CEMCAZ50,04/04/20,10.0
05TUBCPVC34,04/04/20,9.15
05TEECPVC34,04/04/20,2.0
05CODCP9034,04/04/20,4.0
05REDBCPVC3412,04/04/20,2.0
05LLAAST,04/04/20,2.0
05ADAPMC12,04/04/20,2.0
05COPCP34,04/04/20,2.0
05TUBCPV12,04/04/20,1.8
05PEGF150,04/04/20,1.0
05PEGAPVC50,04/04/20,1.0
05CHU1122,04/04/20,1.0
0617831,04/04/20,1.0
03VCUA12,04/04/20,7.8
03SOL1812,04/04/20,2.0
03124GVC18,04/04/20,1.0
06PEB1,04/04/20,1.0
04HDD412,04/04/20,1.0
04MEDCV,04/04/20,2.0
03154JUN18,04/04/20,2.8
04S105,04/04/20,1.0
06MS50,08/04/20,8.0
05TUBGALV5138,04/04/20,1.0
0614216,04/04/20,1.0
01CEMCAZ50,04/04/20,5.0
01PBC25,04/04/20,2.0
01CEMCAZ50,04/04/20,4.0
08APASA,04/04/20,3.0
087595,04/04/20,1.0
06CINAIS6018,04/04/20,1.0
0848134,04/04/20,1.0
08CAB12,04/04/20,2.15
06T501,04/04/20,1.0
06KOLAL,04/04/20,1.0
05COPPVC23,04/04/20,1.0
06CINT12,04/04/20,1.0
SRVBASIND,06/04/20,1.0
01CEMCAZ50,06/04/20,2.0
01PBC25,06/04/20,1.0
01CEMCAZ50,06/04/20,1.0
08CON48135,06/04/20,5.0
0848134,06/04/20,3.0
02TORS118,06/04/20,200.0
0612973,06/04/20,2.0
06NIV120,06/04/20,1.0
0618482,06/04/20,1.0
0644486,06/04/20,12.0
01ALREC,06/04/20,2.0
06CLA212,06/04/20,3.0
01CEMCAZ50,06/04/20,10.0
01BLO10,06/04/20,100.0
01ALREC,06/04/20,2.0
06CLA212,06/04/20,2.0
08BICPALG,06/04/20,2.0
06BRF38,06/04/20,1.0
01CEMCAZ50,06/04/20,1.0
01CEMCAZ50,06/04/20,2.0
01CEMCAZ50,06/04/20,1.0
01CEMCAZ50,06/04/20,2.0
01CEMCAZ50,06/04/20,1.0
01CEMCAZ50,06/04/20,3.0
01CEMCAZ50,06/04/20,2.0
08APASA,06/04/20,1.0
05CODPVC290,06/04/20,1.0
06CLAC2,06/04/20,1.0
02TORS2,06/04/20,250.0
02TORS3,06/04/20,100.0
03PTR2114,06/04/20,66.0
03SOL18114,06/04/20,10.4
06ESPA516,06/04/20,2.0
0613295,06/04/20,1.0
0610836,06/04/20,1.0
03101AL20Z,07/04/20,5.8
03PR10018,07/04/20,4.4
03131MOS20,07/04/20,4.0
04HSI2178,07/04/20,1.0
04HDDC7,07/04/20,1.0
06T501,07/04/20,1.0
01CEMCAZ50,07/04/20,1.0
06R09521,07/04/20,2.0
06CLA212,07/04/20,2.0
01ARM124,07/04/20,2.0
08POL12,07/04/20,30.0
06CODP12,07/04/20,10.0
08CAJO,07/04/20,6.0
01CEMCAZ50,07/04/20,2.0
01ARM204,07/04/20,1.0
03PTR34,07/04/20,6.3
05ASRED,07/04/20,1.0
06VC0200,07/04/20,1.0
01CEMCAZ50,07/04/20,35.0
01VAR38,07/04/20,30.0
06CLA212,07/04/20,3.0
06CLAC2,07/04/20,2.0
08CAJO,07/04/20,4.0
06CLA4,07/04/20,2.0
06CODP12,07/04/20,9.0
01ALREC,07/04/20,5.0
05CODPVC690,07/04/20,4.0
01CAL,07/04/20,2.0
06CLA4,07/04/20,0.5
01ALREC,07/04/20,4.0
01EST1520,07/04/20,8.0
01CEMCAZ50,07/04/20,5.0
04DISCAU778,07/04/20,20.0
06ESPA516,07/04/20,1.0
0621606,07/04/20,1.0
03103TS20,07/04/20,3.2
03M22518,07/04/20,7.6
03k30018,07/04/20,6.0
03TAB33,07/04/20,6.2
03PP10020,07/04/20,6.2
04HBISL3,07/04/20,3.0
06RODLA,07/04/20,1.0
06BRIC2,07/04/20,1.0
05TUBPVCN4,07/04/20,15.0
05COPPVC4,07/04/20,3.0
05TUBPVCN3,07/04/20,6.0
05CODPVC390,07/04/20,1.0
05COD4S2,07/04/20,1.0
05CODPVC290,07/04/20,3.0
05TUBPVCN2,07/04/20,3.0
05PEGAPVC50,07/04/20,1.0
01CEMCAZ50,07/04/20,30.0
03POL46,07/04/20,160.0
01ARM1543,07/04/20,10.0
05EMPEPT,07/04/20,1.0
0545046,07/04/20,1.0
01ALREC,07/04/20,10.0
0610252,07/04/20,1.0
SRVBASIND,07/04/20,1.0
01BAB1030,07/04/20,300.0
01ARM124,07/04/20,8.0
06CODP12,07/04/20,5.0
01CEMCAZ50,07/04/20,12.0
08CAJO,07/04/20,6.0
05CODPVC245,07/04/20,1.0
05CODPVC290,07/04/20,1.0
0846120,07/04/20,1.0
0620402,07/04/20,1.0
01YEM,07/04/20,10.0
01CEMCAZ50,07/04/20,1.0
01PBC25,07/04/20,1.0
05ADAPMC12,07/04/20,1.0
04HFPM2G,07/04/20,4.0
04HVO11,07/04/20,1.0
04HVC,07/04/20,1.0
06ESPMA4,07/04/20,1.0
01ALREC,07/04/20,1.0
01CAL,07/04/20,1.0
03126CHC20,07/04/20,4.0
03PP10020,07/04/20,2.2
03PR17520,07/04/20,8.1
04S105,07/04/20,1.0
01BE,07/04/20,1.0
01BP5,07/04/20,1.0
01CEMCAZ50,07/04/20,10.0
06MACI12150,07/04/20,6.0
05TUBCPV12,07/04/20,18.3
08POL1234,07/04/20,10.0
06CODP3,07/04/20,2.0
05COPCP12,07/04/20,7.0
05COPCP12,07/04/20,10.0
05CODCP9012,07/04/20,2.0
08CENC1,07/04/20,1.0
08PASQ30,07/04/20,1.0
04HTAQ14,07/04/20,4.0
06PIJ8112,07/04/20,4.0
01BLO15,07/04/20,200.0
01ES,07/04/20,5.0
03127TDZC20,08/04/20,8.6
01CEMCAZ50,08/04/20,1.0
06LIJA99320,08/04/20,5.0
06LIJA99220,08/04/20,4.0
0614951,08/04/20,1.0
05TUBPVCHA12,08/04/20,2.0
0620402,08/04/20,1.0
04TMOS90,08/04/20,1.0
0610621,08/04/20,1.0
03PR20020,08/04/20,6.4
0620402,08/04/20,2.0
08ROS4,08/04/20,10.0
04HTAQ38,08/04/20,50.0
08FOCOO75,08/04/20,2.0
0614246,08/04/20,1.0
0613295,08/04/20,1.0
05TUBPL12,08/04/20,1.0
05CODPL12,08/04/20,1.0
01CEMCAZ50,08/04/20,5.0
01BLO15,08/04/20,100.0
01ALREC,08/04/20,10.0
06CLAC212,08/04/20,1.0
06NAVA6,08/04/20,1.0
01CAL,08/04/20,5.0
06MANPJARML,08/04/20,50.0
06CONMJ,08/04/20,1.0
06ABRASF6,08/04/20,1.0
06SALPPC,08/04/20,1.0
06BRC386,08/04/20,2.0
08CAJCHR,08/04/20,2.0
06CODP12,08/04/20,1.0
08ROS4,08/04/20,4.0
01CEMCAZ50,08/04/20,1.0
06CLA4,08/04/20,0.5
06ALPN34,08/04/20,1.0
08E362561,08/04/20,4.0
08CON48135,08/04/20,8.0
08E362562,08/04/20,2.0
08E362501,08/04/20,4.0
08E362504,08/04/20,2.0
08ROS4,08/04/20,4.0
01CEMCAZ50,08/04/20,1.0
06PIJ8112,08/04/20,10.0
06FLECIMP,08/04/20,1.0
0846202,08/04/20,2.0
08CONPDAB,08/04/20,1.0
08TAPD,08/04/20,1.0
08CAJCHR,08/04/20,1.0
0612533,08/04/20,1.0
05LLAN12UN,08/04/20,1.0
06CAL40L,08/04/20,1.0
02TOR812,08/04/20,3.0
05TUBPVCN4,08/04/20,1.22
05REDPVC42,08/04/20,1.0
06MANGU,08/04/20,2.0
0644242,08/04/20,1.0
05PEGADO50,08/04/20,1.0
05VALBCP12,08/04/20,1.0
01CEMCAZ50,08/04/20,2.0
0644486,08/04/20,25.0
06CUCH,08/04/20,1.0
06PES300T,08/04/20,1.0
06VC0200,22/12/20,1.0
01EST1520,13/04/20,6.2
01VAR38K,13/04/20,4.0
01CEMCAZ50,13/04/20,4.0
04HREM12,13/04/20,50.0
01BLO15,13/04/20,200.0
01CEMCAZ50,13/04/20,5.0
01CEMCAZ50,13/04/20,2.0
01VAR38,13/04/20,1.0
04HVC,13/04/20,1.0
01CEMCAZ50,13/04/20,1.0
04MARC,13/04/20,2.0
0644378,13/04/20,20.0
04HTAQ14,13/04/20,20.0
05TUBPVCN4,13/04/20,18.0
05CODPVC490,13/04/20,4.0
05CODPVC445,13/04/20,2.0
05COPPVC4,13/04/20,2.0
05TUBPVCN2,13/04/20,6.0
05CODPVC290,13/04/20,3.0
05COD4S2,13/04/20,1.0
05PEGAD240,13/04/20,1.0
0619788,13/04/20,1.0
01CAL,13/04/20,2.0
01CEMCAZ50,13/04/20,2.0
06TAQ516,13/04/20,2.0
06GRAPP8,13/04/20,40.0
0617193,13/04/20,1.0
0846315,13/04/20,1.0
0846316,13/04/20,1.0
01CEMCAZ50,13/04/20,3.0
04HSI2176,13/04/20,1.0
04DISCAU778,13/04/20,5.0
01CEMCAZ50,13/04/20,2.0
01CEMCAZ50,13/04/20,8.0
05PEGAD120,13/04/20,1.0
0619658,13/04/20,1.0
05CODPVC490,13/04/20,1.0
05TUBPVCN4,13/04/20,3.0
01CEMCAZ50,13/04/20,1.0
01PBC25,13/04/20,1.0
01BLO12,13/04/20,20.0
06MACI121,13/04/20,4.0
04HBISL3,13/04/20,10.0
04HBISTU38,13/04/20,2.0
04HSI2178,13/04/20,3.0
06PEB1,13/04/20,1.0
06PEB12,13/04/20,1.0
06T501,13/04/20,2.0
06CABPZ,13/04/20,1.0
06PEB12,13/04/20,1.0
0611586,13/04/20,1.0
01YEM,13/04/20,1.0
01CEMCAZ50,13/04/20,3.0
01ARM204,13/04/20,5.0
01ALREC,13/04/20,1.0
04HPASR05,13/04/20,2.0
04HSI2178,13/04/20,1.0
04DISCAU778,13/04/20,2.0
06CLA212,13/04/20,4.0
03SOL1812,13/04/20,8.0
06CAMON,13/04/20,1.0
06ALIMCER,13/04/20,1.0
06BLAN2005,13/04/20,1.0
06VC0200,13/04/20,1.0
01EST1520,13/04/20,16.0
0611915,13/04/20,1.0
01CEMCAZ50,14/04/20,1.0
01ARM1543,14/04/20,1.0
06REDG140,14/04/20,2.0
0618647,14/04/20,2.0
06MANPN14,14/04/20,8.0
SRVBASIND,14/04/20,2.0
06T501,14/04/20,4.0
04HREM53238,14/04/20,100.0
04HREM53214,14/04/20,100.0
04HPPB1434,14/04/20,50.0
04HPPB141,14/04/20,50.0
06BRICH4,14/04/20,1.0
06BRIC4,14/04/20,1.0
0612593,14/04/20,1.0
01CEMCAZ50,14/04/20,20.0
06GRAPG,14/04/20,0.5
08BICPALG,14/04/20,3.0
04HTAQ38,14/04/20,50.0
04HBISL3,14/04/20,4.0
01CEMCAZ50,14/04/20,1.0
01ALREC,14/04/20,1.0
04HSI2176,14/04/20,1.0
06ALAG18,14/04/20,1.0
01CEMCAZ50,14/04/20,10.0
06ESPON,14/04/20,1.0
08CAJO,14/04/20,1.0
01CAL,14/04/20,1.0
0612591,14/04/20,2.0
0621606,14/04/20,2.0
06MACI1015,14/04/20,8.0
06LIJAJ7380,14/04/20,1.0
06LA120,14/04/20,1.0
04HDCM14,14/04/20,1.0
01CEMCAZ50,14/04/20,1.0
05CODPVC245,14/04/20,1.0
05CODPVC290,14/04/20,1.0
05CODPVC445,14/04/20,1.0
01CEMCAZ50,14/04/20,3.0
04HDD412,14/04/20,1.0
04CUE12,14/04/20,62.0
04HSI2178,14/04/20,2.0
SRVBASIND,16/04/20,1.0
0615901,15/04/20,2.0
06C1000,15/04/20,1.0
03PC12518,15/04/20,14.4
04HSI2178,15/04/20,1.0
01ARM204,15/04/20,1.0
01ALAM,15/04/20,5.0
06CMGC,15/04/20,1.0
06CLAC212,14/04/20,0.5
04HSI2178,14/04/20,1.0
04HDCM14,14/04/20,2.0
0611673,14/04/20,1.0
04HSI2178,14/04/20,3.0
