Claart,Fecrem,Cant
08PLAMON2,29/08/20,2.0
08PLAMON3,29/08/20,1.0
03ANG18112,29/08/20,5.9
03PC10018,29/08/20,11.6
03PC12518,29/08/20,7.2
05LLAAST,29/08/20,3.0
08CONMON,29/08/20,4.0
01CEMCAZ50,02/09/20,3.0
01ALREC,02/09/20,2.0
04HSI2178,29/08/20,1.0
01BLO15,29/08/20,200.0
01CEMCAZ50,29/08/20,2.0
01CAL,29/08/20,2.0
03154JUN20,29/08/20,3.6
03122ES18,29/08/20,2.9
03101AL18,29/08/20,7.4
06CAMON,29/08/20,1.0
SRVBASIND,29/08/20,1.0
03TAB33,29/08/20,24.8
04HDCM14,29/08/20,1.0
01CEMCAZ50,29/08/20,2.0
SRVBASIND,03/09/20,1.0
SRVBASIND,03/09/20,1.0
SRVBASIND,29/08/20,1.0
SRVBASIND,03/09/20,1.0
01ARE,03/09/20,5.0
01CEMCAZ50,03/09/20,6.0
01CEMCAZ50,03/09/20,7.0
06CLA212,03/09/20,4.0
01ALREC,03/09/20,15.0
01VAR38,03/09/20,30.0
01EST1525,03/09/20,10.4
01ALAM,03/09/20,17.4
08POL1234,03/09/20,50.0
08CAJO,03/09/20,8.0
06CODP3,03/09/20,6.0
06CLA4,03/09/20,1.0
01CEMCAZ50,28/08/20,2.0
01YEM,28/08/20,2.0
0614951,28/08/20,1.0
0618100,28/08/20,1.0
04DISCAU778,28/08/20,2.0
05LLAPJ12,28/08/20,1.0
01ALREC,28/08/20,2.0
06CLA212,28/08/20,1.0
01VAR38,28/08/20,2.0
06MAG175050,01/09/20,7.0
01ALREC,01/09/20,1.0
SRVBASIND,28/08/20,1.0
0848133,28/08/20,1.0
0612972,28/08/20,1.0
06PES300T,28/08/20,1.0
06AERONE,28/08/20,1.0
04CUEN12V,28/08/20,10.0
03122ES18,28/08/20,3.8
06PIJ834,28/08/20,200.0
04DISCAU778,28/08/20,2.0
01BLO15,28/08/20,200.0
01ARM204,28/08/20,1.0
01CEMCAZ50,28/08/20,2.0
0614240,28/08/20,1.0
01ALREC,28/08/20,6.0
01EST1520,02/09/20,43.2
01ALREC,02/09/20,20.0
01VAR38,02/09/20,40.0
01CEMCAZ50,02/09/20,25.0
01CEMCAZ50,28/08/20,8.0
01ARM1538,28/08/20,7.0
06CLA212,28/08/20,4.0
01ALREC,28/08/20,5.0
01CEMCAZ50,01/09/20,6.0
01ARM204,01/09/20,4.0
01ALREC,01/09/20,2.0
0619679,03/09/20,2.0
03PR22520,03/09/20,39.6
03LA10126600,03/09/20,4.0
03POL36,03/09/20,45.6
0612977,03/09/20,2.0
04DISCAU778,03/09/20,2.0
01LADRIDLL,03/09/20,300.0
04HPPB141,03/09/20,100.0
06LLES51638,03/09/20,1.0
GTRAS,03/09/20,1.0
0611585,28/08/20,5.0
01CEMMCA50,28/08/20,1.0
05TUBPVCN3,28/08/20,3.0
08BICPALG,28/08/20,5.0
06ESPA58,28/08/20,2.0
08TUER58,28/08/20,8.0
08RON58,28/08/20,8.0
03PTR4214,04/09/20,13.6
01ALREC,28/08/20,1.0
01CEMCAZ50,28/08/20,10.0
01CEMCAZ50,28/08/20,10.0
01CAL,28/08/20,5.0
01CEMCAZ50,28/08/20,1.0
04DISCAU778,02/09/20,4.0
0613186,03/09/20,1.0
04TMOS120,02/09/20,1.0
06PIJ834,02/09/20,25.0
0614246,02/09/20,5.0
08CAJCHR,02/09/20,1.0
0848130,02/09/20,1.0
01CEMCAZ50,02/09/20,2.0
0618100,02/09/20,1.0
0618101,02/09/20,1.0
01ARE,02/09/20,0.5
05TUBPVCN2,02/09/20,6.0
01COMB34,02/09/20,2.0
01BLO15,02/09/20,15.0
SRVBASIND,03/09/20,1.0
01CEMBIG,02/09/20,2.0
01VAR38,27/08/20,100.0
01CEMCAZ50,02/09/20,5.0
01BLO15,02/09/20,60.0
01CEMCAZ50,02/09/20,5.0
01ARM204,02/09/20,4.0
06CLA212,02/09/20,1.0
03M22518,02/09/20,68.4
03M22520Z,02/09/20,11.6
03124GVC18,02/09/20,4.2
03154JUN20,02/09/20,6.0
04HBL3R,02/09/20,3.0
04HCR,02/09/20,6.0
04HPER,02/09/20,3.0
04TMOS120,02/09/20,5.0
06PIJ834,02/09/20,100.0
04HRES,02/09/20,2.0
0614240,02/09/20,1.0
01CEMCAZ50,27/08/20,6.0
SRVBASIND,27/08/20,1.0
0614216,27/08/20,2.0
04HBL3R,27/08/20,6.0
08BICPALG,27/08/20,1.0
04HCR,27/08/20,4.0
04HPER,27/08/20,2.0
08CONPDAB,27/08/20,2.0
03SOL141211,27/08/20,3.8
06T501,27/08/20,2.0
03DUDOZ20,27/08/20,4.8
03M22520Z,27/08/20,11.6
04HDDCM7,27/08/20,1.0
04HDDC7,27/08/20,2.0
04HSI2178,27/08/20,2.0
06PEB1,27/08/20,1.0
05LLAN12UN,27/08/20,1.0
05CODGALV1290,27/08/20,1.0
08POLF12,27/08/20,45.0
08CAJCHR,27/08/20,14.0
02TORS118PF,03/09/20,100.0
0621606,03/09/20,1.0
08CAJCHR,02/09/20,10.0
08CENC1,02/09/20,1.0
08POL12,02/09/20,50.0
03101AL20,27/08/20,11.6
03P10018,27/08/20,8.0
03123AR20,27/08/20,3.2
03121CH20,27/08/20,6.0
01ES,27/08/20,1.0
01CEMBC,27/08/20,1.0
06ABU2,27/08/20,5.0
04HTAQ38,27/08/20,7.0
06PIJ10112,27/08/20,7.0
01CEMCAZ50,27/08/20,5.0
05NIPGCAM3838,27/08/20,1.0
06CLAC212,27/08/20,0.5
01SON35,27/08/20,1.0
0612557,27/08/20,1.0
0615907,27/08/20,1.0
06CLAC212,27/08/20,0.4
06REDG140,27/08/20,2.0
06ALAG16,27/08/20,5.0
05COPCOB12,27/08/20,1.0
02TOR812,27/08/20,100.0
04HFPM4L,27/08/20,1.0
01ALREC,27/08/20,2.0
04HPM3L,27/08/20,2.0
01BLO15,27/08/20,100.0
01ARM204,27/08/20,6.0
06PEB1,27/08/20,1.0
01ES,27/08/20,1.0
01CAS111,27/08/20,1.0
06PEGAMM,27/08/20,2.0
06BRIC4,27/08/20,1.0
06FRANE,27/08/20,2.0
01ARM204,02/09/20,2.0
01VAR112,02/09/20,6.0
08CAJO,02/09/20,2.0
01CEMCAZ50,02/09/20,3.0
04MARC,27/08/20,2.0
01CEMCAZ50,27/08/20,6.0
0611979,27/08/20,1.0
03TAB3Z,25/08/21,12.4
03131MOS20,25/08/21,20.0
03160PSM18,25/08/21,25.8
05CODPL12,26/08/20,2.0
05COPL12,26/08/20,3.0
06ALAG145,26/08/20,1.0
01ES,26/08/20,7.0
01CEMBC,26/08/20,3.0
08EXT20,26/08/20,1.0
01CEMCAZ50,26/08/20,10.0
01CEMCAZ50,26/08/20,1.0
0549365,26/08/20,1.0
05COFLEXFC,26/08/20,1.0
0648504,26/08/20,5.0
04HTAQ14,26/08/20,20.0
06PIJ8112,26/08/20,20.0
06PES75,26/08/20,1.0
06PALT,16/01/21,1.0
04MARC,16/01/21,2.0
04L570ICB,16/01/21,1.0
01CEMCAZ50,06/10/17,2.0
05ABRASF8,06/10/17,2.0
01EST1520,06/10/17,5.0
01ALREC,06/10/17,3.0
06PALTML,06/10/17,1.0
0621026,19/06/18,4.0
06CASCSEG,19/06/18,2.0
062503,19/06/18,2.0
03VP,19/06/18,18.2
04HDCM14,19/06/18,6.0
01CEMCAZ50,19/06/18,1.0
01CEMCAZ50,29/09/17,2.0
05ABRASF8,04/01/19,8.0
05TUBCPV12,04/01/19,3.05
05TEEPVCIN12,04/01/19,1.0
01VAR38,04/01/19,3.0
01LAD,04/01/19,123.0
06POLH12,04/01/19,35.0
05ADAPHC12,04/01/19,2.0
05TEEPVCIN34,04/01/19,1.0
05CODCP9012,04/01/19,2.0
05TEECPVCC12,04/01/19,1.0
05ADAPIM12,04/01/19,2.0
01VAR38,12/07/17,200.0
01CEMCAZ50,13/07/17,1.0
05PEGAD240,13/07/17,1.0
01CEMCAZ50,17/07/17,20.0
GTRAS,17/07/17,1.0
01CEMCAZ50,17/07/17,4.0
01CAL,17/07/17,3.0
0621602,11/07/17,1.0
01CEMCAZ50,11/07/17,12.0
01VAR38,11/07/17,10.0
01ARM1543,11/07/17,15.0
03PTR214,11/07/17,273.0
03POL36,11/07/17,577.6
05TUBCPVC1,11/07/17,6.1
05TUBPVCN4,11/07/17,6.0
05CODPVC490,11/07/17,1.0
05PEGPVC250,11/07/17,1.0
01CEMCAZ50,11/07/17,4.0
0614951,12/07/17,1.0
01VAR38,12/07/17,20.0
01CEMCAZ50,12/07/17,15.0
01COMB34,12/07/17,2.0
08CAJO4R,12/07/17,3.0
08POL12,12/07/17,20.0
06CLA2,12/07/17,2.0
06CLA212,12/07/17,1.0
0619072,12/07/17,1.0
01VAR38,12/07/17,1.0
06ALAPJ34,12/07/17,1.0
01CEMBC,28/07/17,3.0
01ES,28/07/17,1.0
02TORS112,08/09/17,20.0
01CEMCAZ50,18/07/17,3.0
01CAL,18/07/17,2.0
01CEMCAZ50,06/09/17,2.0
05TUBCPV12,06/09/17,6.1
05TEECPVCC12,06/09/17,2.0
04TMOS105,06/09/17,1.0
06MANPJARML,18/07/17,15.0
03ANG3163,18/07/17,35.0
