Claart,Fecfac,Cant
01LADRIDLL,21/05/19,1600.0
01LADRIDLL,21/05/19,400.0
01LADRIDLL,21/05/19,720.0
01CEMBIG,23/05/19,4.0
01CEMBIG,23/05/19,4.0
01CEMBIG,23/05/19,4.0
05ABRPVC312,23/05/19,5.0
05SILL124,23/05/19,7.0
01CEMAGR,24/05/19,14.09
01CEMAGR,24/05/19,1.86
01CEMAGR,25/05/19,40.06
01ARM124,27/05/19,144.0
01CEMAGR,29/05/19,40.4
01ARM1538,30/05/19,40.0
01ARM1543,31/05/19,100.0
01CEMCAZ50,31/05/19,43.0
01ARM1543,01/06/19,100.0
01CEMCAZ50,01/06/19,40.0
01ARM124,03/06/19,144.0
01ALREC,03/06/19,50.0
01ARM1538,03/06/19,10.0
01CAS606020,04/06/19,95.0
01CEMBIG,04/06/19,4.0
01CEMAGR,04/06/19,13.52
01MALSOL10,05/06/19,600.0
01MALSOL6,05/06/19,100.0
01CEMCAZ50,05/06/19,40.0
01ARM124,05/06/19,62.0
01CAS606020,05/06/19,165.0
01CEMAGR,06/06/19,39.93
01ARM1538,06/06/19,20.0
01CEMAGR,08/06/19,19.1
01CAS606020,10/06/19,4.0
01CEMAGR,11/06/19,16.93
01CEMAGR,11/06/19,23.18
01ARM1543,11/06/19,100.0
01CEMCAZ50,11/06/19,40.0
01CEMAGR,12/06/19,14.38
01CEMBIG,12/06/19,2.0
01CEMAGR,13/06/19,21.26
01CEMAGR,13/06/19,0.95
01CEMCAZ50,14/06/19,30.0
05TINRT2500,14/06/19,1.0
06CORT24B,14/06/19,2.0
06NAVA6,14/06/19,1.0
06PL4,14/06/19,5.0
06POLH1,14/06/19,13.0
01CEMBIG,15/06/19,10.0
01GM,15/06/19,53.2
01CEMCAZ50,15/06/19,77.0
01CEMBIG,19/06/19,2.0
01VAR38,20/06/19,30.0
01VAR38,20/06/19,55.0
01VAR38,20/06/19,45.0
08TUBCPVC12,21/06/19,10.0
03TC301,21/06/19,40.0
06CINAIS6018,21/06/19,2.0
08TUBCPVC12,21/06/19,5.0
01CEMBIG,24/06/19,2.0
01CEMBIG,24/06/19,2.0
01VART6014,24/06/19,420.0
01CEMCAZ50,25/06/19,100.0
01CEMMCA50,25/06/19,100.0
01YEM,25/06/19,7.0
01CEMBIG,25/06/19,4.0
03TC301,27/06/19,45.0
01CEMBIG,28/06/19,10.0
01CEMAGR,29/06/19,40.25
01CEMAGR,29/06/19,19.49
01CEMAGR,01/07/19,19.68
01CEMAGR,03/07/19,40.3
01CEMAGR,03/07/19,20.76
01CEMAGR,03/07/19,4.01
01CEMAGR,04/07/19,8.24
01CEMAGR,04/07/19,11.0
01CEMCAZ50,06/07/19,10.0
01CEMAGR,08/07/19,39.97
01CEMBIG,10/07/19,4.0
01CEMBIG,08/07/19,2.0
01CEMAGR,11/07/19,7.73
01CEMCAZ50,13/07/19,10.0
01CEMCAZ50,16/07/19,10.0
01CEMCAZ50,18/07/19,20.0
01MALSOL6,19/07/19,200.0
01CEMCAZ50,20/07/19,10.0
01CEMBIG,23/07/19,2.0
01CEMCAZ50,24/07/19,2.0
01CEMCAZ50,24/07/19,8.0
01VAR38,24/07/19,100.0
01CEMCAZ50,25/07/19,10.0
01ARM1543,26/07/19,12.0
01CEMCAZ50,27/07/19,10.0
01CEMCAZ50,27/07/19,200.0
01ALREC,27/07/19,5.21
01CEMCAZ50,29/07/19,10.0
01ALAM,29/07/19,50.0
01ARM123,29/07/19,60.0
01ARM124,29/07/19,60.0
01CEMMCA50,29/07/19,38.0
01VAR112,29/07/19,20.0
01VART6014,29/07/19,262.0
06CLA212,29/07/19,25.0
01CEMCAZ50,29/07/19,44.0
01CEMBIG,01/08/19,2.0
01CEMCAZ50,02/08/19,10.0
01MALSOL10,02/08/19,500.0
01CEMCAZ50,06/08/19,10.0
01CEMCAZ50,08/08/19,50.0
01CEMCAZ50,08/08/19,144.0
