Claart,Desart,Cant,Fec
06ALPN34,Alambre puas 34 kg Novillo,1.0,2022-12-21
06ALPN34,Alambre puas 34 kg Novillo,2.0,2022-12-22
06ALPN34,Alambre puas 34 kg Novillo,1.0,2023-03-01
06ALPN34,Alambre puas 34 kg Novillo,3.0,2023-04-01
06ALPN34,Alambre puas 34 kg Novillo,1.0,2023-01-23
06ALPN34,Alambre puas 34 kg Novillo,3.0,2023-02-17
06ALPN34,Alambre puas 34 kg Novillo,1.0,2023-02-27
06ALPN34,Alambre puas 34 kg Novillo,1.0,2023-06-03
06ALPN34,Alambre puas 34 kg Novillo,1.0,2023-04-29
06ALPN34,Alambre puas 34 kg Novillo,16.0,2023-08-05
06ALPN34,Alambre puas 34 kg Novillo,3.0,2023-05-16
06ALPN34,Alambre puas 34 kg Novillo,12.0,2023-06-15
06ALPN34,Alambre puas 34 kg Novillo,1.0,2023-06-17
06ALPN34,Alambre puas 34 kg Novillo,25.0,2023-06-21
06ALPN34,Alambre puas 34 kg Novillo,6.0,2023-06-27
06ALPN34,Alambre puas 34 kg Novillo,1.0,2023-07-15
06ALPN34,Alambre puas 34 kg Novillo,6.0,2023-07-21
06ALPN34,Alambre puas 34 kg Novillo,1.0,2023-07-26
06ALPN34,Alambre puas 34 kg Novillo,10.0,2023-07-27
06ALPN34,Alambre puas 34 kg Novillo,3.0,2023-07-29
06ALPN34,Alambre puas 34 kg Novillo,1.0,2023-04-08
06ALPN34,Alambre puas 34 kg Novillo,6.0,2023-08-21
06ALPN34,Alambre puas 34 kg Novillo,1.0,2023-05-09
06ALPN34,Alambre puas 34 kg Novillo,4.0,2023-09-19
06ALPN34,Alambre puas 34 kg Novillo,2.0,2023-09-20
06ALPN34,Alambre puas 34 kg Novillo,1.0,2023-09-22
06ALPN34,Alambre puas 34 kg Novillo,4.0,2023-05-10
06ALPN34,Alambre puas 34 kg Novillo,1.0,2023-10-10
06ALPN34,Alambre puas 34 kg Novillo,5.0,2023-10-31
06ALPN34,Alambre puas 34 kg Novillo,4.0,2023-06-11
06ALPN34,Alambre puas 34 kg Novillo,5.0,2023-11-15
06ALPN34,Alambre puas 34 kg Novillo,1.0,2023-11-16
06ALPN34,Alambre puas 34 kg Novillo,3.0,2023-11-22
06ALPN34,Alambre puas 34 kg Novillo,1.0,2023-11-27
06ALPN34,Alambre puas 34 kg Novillo,4.0,2023-01-12
06ALPN34,Alambre puas 34 kg Novillo,1.0,2023-02-12
06ALPN34,Alambre puas 34 kg Novillo,13.0,2023-12-14
06ALPN34,Alambre puas 34 kg Novillo,2.0,2023-12-27
