"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncar","Numfac","Tipo","canfon","observacion","Clauni","objimp"
"1","SRV22","400","1","0","yes","0","16","0","367107","0","ZINC0060","ZI008735","yes","0","","0",""
"1","SRV2","391.05","1","0","yes","0","16","0","382661","0","ZINC0061","ZI009448","yes","0","","0",""
"1","SRV22","444","1","0","yes","0","16","0","388744","0","ZINC0062","ZI009927","yes","0","","0",""
"1","SRV2","480","1","0","yes","0","16","0","388769","0","ZINC0063","ZI008674","yes","0","","0",""
"1","SRV22","1000","1","0","yes","0","16","0","397288","0","ZINC0064","ZI010306","yes","0","","0",""
"1","SRV2","361.62","1","0","yes","0","16","0","492769","0","ZINC0065","ZI009895","yes","0","","0",""
"1","SRV2","12240","1","0","yes","0","16","0","496530","0","ZINC0066","ZI010586","yes","0","","0",""
"1","SRV2","1214.03","1","0","yes","0","16","0","499044","0","ZINC0067","ZI010620","yes","0","","0",""
"1","SRV2","3504.76","1","0","yes","0","16","0","500689","0","ZINC0068","ZI010735","yes","0","","0",""
"1","SRV2","90","1","0","yes","0","16","0","523105","0","ZINC0069","ZI009639","yes","0","","0",""
"1","SRV2","360","1","0","yes","0","16","0","523234","0","ZINC0070","ZI010914","yes","0","","0",""
"1","SRV2","5400","1","0","yes","0","16","0","523369","0","ZINC0071","ZI011345","yes","0","","0",""
"1","SRV2","500","1","0","yes","0","16","0","527307","0","ZINC0072","ZI011626","yes","0","","0",""
"1","SRV2","600","1","0","yes","0","16","0","530858","0","ZINC0073","ZI010817","yes","0","","0",""
"1","SRV22","160","1","0","yes","0","16","0","542051","0","ZINC0074","ZI012333","yes","0","","0",""
"1","SRV22","60","1","0","yes","0","16","0","565834","0","ZINC0075","ZI012851","yes","0","","0",""
"1","SRV22","10350","1","0","yes","0","16","0","566753","0","ZINC0076","ZI012181","yes","0","","0",""
"1","SRV22","400","1","0","yes","0","16","0","574851","0","ZINC0077","ZI011655","yes","0","","0",""
"1","SRV22","360","1","0","yes","0","16","0","574871","0","ZINC0078","ZI011746","yes","0","","0",""
"1","SRV22","360","1","0","yes","0","16","0","574874","0","ZINC0079","ZI011993","yes","0","","0",""
"1","SRV22","360","1","0","yes","0","16","0","574882","0","ZINC0080","ZI013044","yes","0","","0",""
"1","SRV22","56789.42","1","0","yes","0","16","0","619969","0","ZINC0081","ZI012482","yes","0","","0",""
"1","SRV2","40","1","0","yes","0","16","0","620881","0","ZINC0082","ZI014323","yes","0","","0",""
"1","SRV2","200","1","0","yes","0","16","0","637682","0","ZINC0084","ZI014652","yes","0","","0",""
"1","SRV2","5981","1","0","yes","0","16","0","647712","0","ZINC0085","ZI014636","yes","0","","0",""
"1","SRV2","257","1","0","yes","0","16","0","647715","0","ZINC0086","ZI014349","yes","0","","0",""
"1","SRV2","452","1","0","yes","0","16","0","647720","0","ZINC0087","ZI014291","yes","0","","0",""
"1","SRV2","319","1","0","yes","0","16","0","647723","0","ZINC0088","ZI014307","yes","0","","0",""
"1","SRV2","2158","1","0","yes","0","16","0","647726","0","ZINC0089","ZI014409","yes","0","","0",""
"1","SRV2","1708","1","0","yes","0","16","0","647808","0","ZINC0090","ZI014646","yes","0","","0",""
"1","SRV2","2158","1","0","yes","0","16","0","647811","0","ZINC0091","ZI014661","yes","0","","0",""
"1","SRV2","2158","1","0","yes","0","16","0","647814","0","ZINC0092","ZI014658","yes","0","","0",""
"1","SRV2","20","1","0","yes","0","16","0","649378","0","ZINC0093","ZI014915","yes","0","","0",""
