"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","Pedren","peso","Numfac","Numped","canfon","unaen","claofe","bannc","claofe2","preofe","claofe3","claaalt","Clauni","cant2","preven","objimp"
"1","01CEMCAZ50","147","5","0","yes","110.77599","16","0","848672","0","0","ZINS0015","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","147","5","0","yes","110.77599","16","0","852247","0","0","ZINS0016","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","147","5","0","yes","110.77599","16","0","853271","0","0","ZINS0017","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","147","5","0","yes","110.77599","16","0","854234","0","0","ZINS0018","","0","no","0","no","0","0","0","","1","0","0",""
"1","01BLO15","7.8","100","0","yes","5.86206","16","0","856364","0","0","ZINS0019","","0","no","0","no","0","0","0","","1","0","0",""
"2","01CEMCAZ50","147","2","0","yes","110.77599","16","0","856364","0","0","ZINS0019","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","147","3","0","yes","110.77599","16","0","856678","0","0","ZINS0020","","0","no","0","no","0","0","0","","1","0","0",""
"1","01BLO15","7.8","100","0","yes","5.86206","16","0","857249","0","0","ZINS0021","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","142.5","10","0","yes","110.77599","16","0","857851","0","0","ZINS0022","","0","no","0","no","0","0","0","","1","0","0",""
"1","01BLO15","7.8","100","0","yes","5.86206","16","0","857863","0","0","ZINS0023","","0","no","0","no","0","0","0","","1","0","0",""
"2","01CEMCAZ50","156","5","0","yes","110.77599","16","0","857863","0","0","ZINS0023","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ALREC","20.1","15","0","yes","14.9","16","0","860329","0","0","ZINS0024","","0","no","0","no","0","0","0","","1","0","0",""
"2","01CAL","68","4","0","yes","47.5","16","0","860329","0","0","ZINS0024","","0","no","0","no","0","0","0","","1","0","0",""
"3","01CEMCAZ50","140","8","0","yes","110.776","16","0","860329","0","0","ZINS0024","","0","no","0","no","0","0","0","","1","0","0",""
"4","03BIO12","10","1000","0","yes","7.8","16","0","860329","0","0","ZINS0024","","0","no","0","no","0","0","0","","1","0","0",""
"5","01BIOB0012","10.2","100","0","yes","7.85","16","0","860329","0","0","ZINS0024","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ARM1538","240","11","0","yes","203.01","16","0","860392","0","0","ZINS0025","","0","no","0","no","0","0","0","","1","0","0",""
"2","06CLA212","22","3","0","yes","17.085","16","0","860392","0","0","ZINS0025","","0","no","0","no","0","0","0","","1","0","0",""
"3","06CLAC212","36.6","1","0","yes","27.80011","16","0","860392","0","0","ZINS0025","","0","no","0","no","0","0","0","","1","0","0",""
"1","05CISTDR500","12590","1","0","yes","8268.42","16","0","861166","0","0","ZINS0026","","0","no","0","no","0","0","0","","1","0","0",""
"1","03PR40018","26.9","31.4","0","yes","20.2","16","0","861186","0","0","ZINS0027","","0","no","0","no","0","0","0","","1","0","0",""
"1","01BLO15","7.8","200","0","yes","5.86206","16","0","861688","0","0","ZINS0028","","0","no","0","no","0","0","0","","1","0","0",""
"1","03PR40018","26.9","158","0","yes","19","16","0","862277","0","0","ZINS0031","","0","no","0","no","0","0","0","","1","0","0",""
"1","01VAR38","103","23","0","yes","90.5023","16","0","862473","0","0","ZINS0029","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ARM12204","130.8","9","0","yes","94.47","16","0","862607","0","0","ZINS0030","","0","no","0","no","0","0","0","","1","0","0",""
"2","06CLA212","22","3","0","yes","17.085","16","0","862607","0","0","ZINS0030","","0","no","0","no","0","0","0","","1","0","0",""
"3","06CLAC212","36.6","1","0","yes","27.80011","16","0","862607","0","0","ZINS0030","","0","no","0","no","0","0","0","","1","0","0",""
"1","01VAR38","103","277","0","yes","90.5023","16","0","864822","0","0","ZINS0032","","0","no","0","no","0","0","0","","1","0","0",""
"1","01EST1530","26","15","0","yes","15.276","16","0","865424","0","0","ZINS0033","","0","no","0","no","0","0","0","","1","0","0",""
"1","01VAR38","105","3","0","yes","90.5023","16","0","867556","0","0","ZINS0034","","0","no","0","no","0","0","0","","1","0","0",""
"1","01VAR38","108.1","10","0","yes","90.5023","16","0","867586","0","0","ZINS0035","","0","no","0","no","0","0","0","","1","0","0",""
"1","01VAR38","111.4285","7","0","yes","90.5023","16","0","867619","0","0","ZINS0036","","0","no","0","no","0","0","0","","1","0","0",""
