"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncre","Numfac","Tipo","canfon","observacion","Clauni","objimp"
"1","01ALREC","22.6","30","0","yes","14.9","16","0","871921","0","ZID00909","","yes","0","","0",""
"2","01BLO15","8.5","150","0","yes","5.8621","16","0","871921","0","ZID00909","","yes","0","","0",""
"3","01CEMCAZ50","170","480","0","yes","110.776","16","0","871921","0","ZID00909","","yes","0","","0",""
"4","01MALSOL10","19.1","900","0","yes","13.065","16","0","871921","0","ZID00909","","yes","0","","0",""
"5","01VAR38","131.3","110","0","yes","90.5023","16","0","871921","0","ZID00909","","yes","0","","0",""
"6","06CLA212","24.8","10","0","yes","17.085","16","0","871921","0","ZID00909","","yes","0","","0",""
"7","06CLAC2","35.5","6","0","yes","24.45163","16","0","871921","0","ZID00909","","yes","0","","0",""
"1","03SOL31634","27","15","0","yes","15.5","16","0","872068","0","ZID00910","ZI018402","yes","0","","0",""
"2","05TUBGALV5138","176","38","0","yes","101.5269","16","0","872068","0","ZID00910","ZI018402","yes","0","","0",""
"3","05TUBGALV522","260","18","0","yes","154.55","16","0","872068","0","ZID00910","ZI018402","yes","0","","0",""
"4","06AEROSPL","45.5","2","0","yes","35.5707","16","0","872068","0","ZID00910","ZI018402","yes","0","","0",""
"5","06COP1138","7","8","0","yes","4.68","16","0","872068","0","ZID00910","ZI018402","yes","0","","0",""
"6","06ESPC","51.5","30","0","yes","33.98","16","0","872068","0","ZID00910","ZI018402","yes","0","","0",""
"7","06MACI122","87.5","270","0","yes","56.54626","16","0","872068","0","ZID00910","ZI018402","yes","0","","0",""
"1","01CEMCAZ50","150","195","0","yes","116.8105","16","0","872084","0","ZID00911","ZI018454","yes","0","","0",""
"6","01VAR38","127","8","0","yes","90.5023","16","0","872131","0","ZID00912","ZI018792","yes","0","","0",""
"7","0644486","87","1","0","yes","56.914","16","0","872131","0","ZID00912","ZI018792","yes","0","","0",""
"8","06CLA212","30.5","3","0","yes","17.085","16","0","872131","0","ZID00912","ZI018792","yes","0","","0",""
"9","06CLAC3","38","3","0","yes","27.8","16","0","872131","0","ZID00912","ZI018792","yes","0","","0",""
"10","06FRANE","14","1","0","yes","8.3006","16","0","872131","0","ZID00912","ZI018792","yes","0","","0",""
"1","01ALREC","23","5","0","yes","15.5889","16","0","872131","0","ZID00912","ZI018792","yes","0","","0",""
"2","01ARM1543","150","8","0","yes","94.47","16","0","872131","0","ZID00912","ZI018792","yes","0","","0",""
"3","01BLO15","8","350","0","yes","5.86206","16","0","872131","0","ZID00912","ZI018792","yes","0","","0",""
"4","01CEMCAZ50","150","70","0","yes","116.8105","16","0","872131","0","ZID00912","ZI018792","yes","0","","0",""
"5","01MALSOL10","22.18","100","0","yes","13.065","16","0","872131","0","ZID00912","ZI018792","yes","0","","0",""
"1","01CEMCAZ50","150","2","0","yes","116.8105","16","0","872161","0","ZID00913","ZI019006","yes","0","","0",""
"1","01CEMCAZ50","150","4","0","yes","116.8105","16","0","872165","0","ZID00914","ZI019034","yes","0","","0",""
"1","01CAL","72","4","0","yes","47.5","16","0","872169","0","ZID00915","ZI019425","yes","0","","0",""
"2","01EC25","90","8","0","yes","58.1997","16","0","872169","0","ZID00915","ZI019425","yes","0","","0",""
"1","01CEMCAZ50","148","150","0","yes","110.776","16","0","875298","0","ZID00916","ZI019685","yes","0","","0",""
"1","01ARM204","124","20","0","yes","94.47","16","0","875302","0","ZID00917","ZI019689","yes","0","","0",""
"2","01BLO12","8","400","0","yes","5.6034","16","0","875302","0","ZID00917","ZI019689","yes","0","","0",""
"3","01BLO15","8","800","0","yes","5.8621","16","0","875302","0","ZID00917","ZI019689","yes","0","","0",""
"4","01CEMCAZ50","144","40","0","yes","110.776","16","0","875302","0","ZID00917","ZI019689","yes","0","","0",""
"5","01SON20","127","2","0","yes","87.69","16","0","875302","0","ZID00917","ZI019689","yes","0","","0",""
"6","01SON25","171","4","0","yes","115.47","16","0","875302","0","ZID00917","ZI019689","yes","0","","0",""
"7","GTRAS","1781","1","0","yes","1","16","0","875302","0","ZID00917","ZI019689","yes","0","","0",""
"1","01ALAM","22","1500","0","yes","13.87","16","0","877955","0","ZID00918","ZI019701","yes","0","","0",""
"2","01CEMCAZ50","148","300","0","yes","110.776","16","0","877955","0","ZID00918","ZI019701","yes","0","","0",""
"3","06CLA212","28","150","0","yes","17.085","16","0","877955","0","ZID00918","ZI019701","yes","0","","0",""
"1","06CLAC212","40.4687","16","0","yes","27.825","16","0","880232","0","ZID00919","ZI019748","yes","0","","0",""
"1","06CLA212","29.4318","22","0","yes","17.085","16","0","880258","0","ZID00920","ZI019748","yes","0","","0",""
"1","01CEMCAZ50","145","60","0","yes","110.776","16","0","884555","0","ZID00921","ZI019844","yes","0","","0",""
"1","01VAR112R","110","67","0","yes","150.24337","16","0","884652","0","ZID00922","ZI019877","yes","0","","0",""
"1","01CON","2349","13.5","0","yes","1975","16","0","884834","0","ZID00923","ZI019878","yes","0","","0",""
"2","01CON3","2639","2.5","0","yes","2225","16","0","884834","0","ZID00923","ZI019878","yes","0","","0",""
"3","01CONPRE250","2088","86.5","0","yes","1750","16","0","884834","0","ZID00923","ZI019878","yes","0","","0",""
"1","01CEMCAZ50","148","505","0","yes","110.776","16","0","885380","0","ZID00924","DPQ01906","yes","0","","0",""
"2","06PL4","37","158.68","0","yes","110.776","16","0","885380","0","ZID00924","DPQ01906","yes","0","","0",""
"1","01YEM","67","7","0","yes","40.4","16","0","885382","0","ZID00925","ZI017885","yes","0","","0",""
"1","01ALAM","22.5","5","0","yes","13.869","16","0","885386","0","ZID00926","ZI017948","yes","0","","0",""
"2","06CONTMON","18","7","0","yes","10.87","16","0","885386","0","ZID00926","ZI017948","yes","0","","0",""
"3","06PLAMON1","17","7","0","yes","10.92","16","0","885386","0","ZID00926","ZI017948","yes","0","","0",""
"4","08CENC2","68.5","2","0","yes","51.63","16","0","885386","0","ZID00926","ZI017948","yes","0","","0",""
"5","08PASQ30","173.2","10","0","yes","104.5","16","0","885386","0","ZID00926","ZI017948","yes","0","","0",""
"1","01PBC25","80","15","0","yes","51.72419","16","0","885398","0","ZID00927","ZI018180","yes","0","","0",""
"1","01CEMCAZ50","150","32","0","yes","116.8105","16","0","885402","0","ZID00928","ZI018268","yes","0","","0",""
"1","03PTR3214","22.7","240","0","yes","15.5","16","0","885406","0","ZID00929","ZI018812","yes","0","","0",""
"2","04HSO1818","50.5","20","0","yes","33.1","16","0","885406","0","ZID00929","ZI018812","yes","0","","0",""
"1","01CEMCAZ50","150","300","0","yes","110.77599","16","0","885412","0","ZID00930","ZI019470","yes","0","","0",""
"1","01MALSOL10","23.4","400","0","yes","13.065","16","0","885416","0","ZID00931","ZI019590","yes","0","","0",""
"1","01CEMCAZ50","150","300","0","yes","110.776","16","0","885420","0","ZID00932","ZI019650","yes","0","","0",""
