"Clapro","Refori","Fecfac","Fecven","Monto","Estado","Miva","MImp2","MDes","Mcosto","Piva","Pimp2","PDes","Nummov","Numfac","Facpro","Mfondo","Numuser","nusercan"
"GABM78","","28/10/15","28/10/15","42746.58","yes","36850.5","0","0","0","16","0","0","36475","00000052","221015","0","0","0"
"GABM78","","28/10/15","28/10/15","39696.36","yes","34221","0","0","0","16","0","0","80512","00000053","191015","0","0","0"
"GABM78","","28/10/15","28/10/15","44544","yes","38400","0","0","0","16","0","0","80516","00000054","281015","0","0","0"
"HESA76","","29/10/15","29/10/15","26633.6","yes","22960","0","0","0","16","0","0","80535","00000055","48","0","0","0"
"RE7804","","29/10/15","29/10/15","212205.76","yes","182936","0","0","0","16","0","0","80540","00000056","A4","0","0","0"
"AGU00","","31/10/15","31/10/15","1682","yes","1450","0","0","0","16","0","0","80562","00000057","12758","0","0","0"
"CAC09","","31/10/15","31/10/15","286925.99","yes","247349.99","0","0","0","16","0","0","80574","00000058","8990","0","0","0"
"GABM78","","31/10/15","31/10/15","17937.66","yes","15463.5","0","0","0","16","0","0","80585","00000059","104","0","0","0"
"MAL00","","02/11/15","02/11/15","23872.8","yes","20580","0","0","0","16","0","0","80599","00000060","3857","0","0","0"
"RE7804","","03/11/15","03/11/15","110383.28","yes","95158","0","0","0","16","0","0","80596","00000061","5","0","0","0"
"RE7804","","05/11/15","05/11/15","48318.06","yes","41653.5","0","0","0","16","0","0","80643","00000062","7","0","0","0"
"SPO12","","05/11/15","05/11/15","9471.17","yes","8164.8","0","0","0","16","0","0","80654","00000063","3746","0","0","0"
"GORY93","","06/11/15","06/11/15","17284","yes","14900","0","0","0","16","0","0","81187","00000064",".","0","0","0"
"AAL05","","07/11/15","07/11/15","74254.85","yes","64012.8","0","0","0","16","0","0","81377","00000065","8676","0","0","0"
"ROT78","","09/11/15","09/11/15","107880","yes","93000","0","0","0","16","0","0","81409","00000066","111516","0","0","0"
"IFN03","","12/11/15","12/11/15","78583.06","yes","67744.02","0","0","0","16","0","0","81446","00000067","115255","0","0","0"
"OEVJ71","","12/11/15","12/11/15","10289.98","yes","10289.98","0","0","11692.8","16","0","0","81457","00000068","8829-8828","0","0","0"
"RE7804","","12/11/15","12/11/15","5368.48","yes","4628","0","0","0","16","0","0","81462","00000069","9","0","0","0"
"GPA93","","13/11/15","13/11/15","1488.87","yes","1283.51","0","0","0","16","0","0","81521","00000070","1562479","0","0","0"
"AAL92","","13/11/15","13/11/15","145","yes","0","145","0","0","0","0","0","81529","00000071","77638","0","0","0"
"THE7911","","13/11/15","13/11/15","61686.18","yes","23687.49","34208.7","0","0","16","0","0","81589","00000072","31535471","0","0","0"
"OEVJ71","","13/11/15","13/11/15","2643.41","yes","2643.41","0","0","3006.72","16","0","0","81681","00000073","8847","0","0","0"
"VQU40","","18/11/15","18/11/15","22461.87","yes","19363.68","0","0","0","16","0","0","81716","00000074","3250","0","0","0"
"HESA76","","19/11/15","19/11/15","31830.4","yes","27440","0","0","0","16","0","0","81384","00000075","50","0","0","0"
"RE7804","","20/11/15","20/11/15","306.24","yes","264","0","0","0","16","0","0","81730","00000076","4.1","0","0","0"
"RE7804","","20/11/15","20/11/15","33245.6","yes","28660","0","0","0","16","0","0","81739","00000077","6","0","0","0"
"RE7804","","20/11/15","20/11/15","7395","yes","6375","0","0","0","16","0","0","81749","00000078","6","0","0","0"
"CCA95TT","","23/11/15","23/11/15","102510.07","yes","88370.75","0","0","0","16","0","0","82044","00000079","4224315","0","0","0"
"SAC09","","23/11/15","23/11/15","92771.23","yes","79975.2","0","0","0","16","0","0","82049","00000080","15402","0","0","0"
"AAL05","","23/11/15","23/11/15","324909.5","yes","280094.4","0","0","0","16","0","0","82060","00000081","097078","0","0","0"
"TUB00","","23/11/15","23/11/15","6860.91","yes","5914.58","0","0","0","16","0","0","81760","00000082","2153","0","0","0"
"CCA95TT","","26/11/15","26/11/15","102510.07","yes","88370.75","0","0","0","16","0","0","81182","00000083","4208106","0","0","0"
"ROT78","","26/11/15","26/11/15","93483.24","yes","80589","0","0","0","16","0","0","81386","00000084","135330","0","0","0"
"DTC02","","30/11/15","30/11/15","7108.96","yes","6128.41","0","0","0","16","0","0","82268","00000085","8590","0","0","0"
"TPB94","","30/11/15","30/11/15","173389.79","yes","149473.96","0","0","0","16","0","0","82279","00000086","4319-4287-4337","0","0","0"
"MAL00","","30/11/15","30/11/15","206010.2","yes","177595","0","0","0","16","0","0","82287","00000087","3881","0","0","0"
"DTC02","","30/11/15","30/11/15","84745.06","yes","73056.09","0","0","0","16","0","0","82224","00000088","8513","0","0","0"
"YIRJ75","","30/11/15","30/11/15","72125.97","yes","0","72125.97","0","0","0","0","0","82139","00000089",".","0","0","0"
"RE7804","","30/11/15","30/11/15","14616","yes","12600","0","0","0","16","0","0","82379","00000090","10","0","0","0"
"RAMA55","","05/12/15","05/12/15","3420","yes","0","3420","0","0","0","0","0","82417","00000091","2500","0","0","0"
"DTC02","","05/12/15","05/12/15","10091.23","yes","8699.33","0","0","0","16","0","0","82422","00000092","8755","0","0","0"
"CCA95TT","","08/12/15","08/12/15","102510.07","yes","88370.75","0","0","0","16","0","0","82436","00000093","4241611","0","0","0"
"HESA76","","09/12/15","09/12/15","10393.6","yes","8960","0","0","0","16","0","0","82526","00000094","57","0","0","0"
"HESA76","","09/12/15","09/12/15","5804.08","yes","5003.52","0","0","0","16","0","0","82532","00000095","58","0","0","0"
"THE7911","","09/12/15","09/12/15","19667.34","yes","7124.52","11402.9","0","0","16","0","0","82551","00000096","31609536","0","0","0"
"TUB00","","09/12/15","09/12/15","17296.71","yes","14910.96","0","0","13613.36","16","0","0","82574","00000097","7481-7845","0","0","0"
"DTC02","","09/12/15","09/12/15","22026.68","yes","18988.52","0","0","0","16","0","0","82597","00000098","8790","0","0","0"
