"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","Numfac","Numped","Pedren","canfon"
"5","08SOQS","4.3081","100","0","yes","0","16","0","51667","00000192","","0","0"
"6","08PASQ30","38.1244","36","0","yes","0","16","0","51667","00000192","","0","0"
"1","08CONSEN","4.5228","100","0","yes","4.09","16","0","51667","00000192","","0","0"
"2","067593","7.286","100","0","yes","0","16","0","51667","00000192","","0","0"
"3","06300144","5.2137","60","0","yes","0","16","0","51667","00000192","","0","0"
"4","06300143","5.2137","30","0","yes","0","16","0","51667","00000192","","0","0"
"1","01CEMCAZ50","94.181","1020","0","yes","94.181","16","0","52005","00000185","","0","0"
"1","06CLA2","11.4972","250","0","yes","11.26","16","0","52019","00000186","","0","0"
"2","06CLAC212","20.8537","120","0","yes","0","16","0","52019","00000186","","0","0"
"3","06CLA4","11.4972","400","0","yes","0","16","0","52019","00000186","","0","0"
"1","06CLA212","11.4972","650","0","yes","11.5","16","0","52032","00000187","","0","0"
"1","01MOT","65700","1","0","yes","65700","0","0","52040","00000188","","0","0"
"2","01IMOT","8103.4483","1","0","yes","9400","16","0","52040","00000188","","0","0"
"1","01PL","114","75","0","yes","0","0","0","52267","00000198","","0","0"
"2","01SA","216","29","0","yes","0","0","0","52267","00000198","","0","0"
"3","01NG","229.5","8","0","yes","0","0","0","52267","00000198","","0","0"
"1","01CEMCAZ50","94.181","1020","0","yes","94.181","16","0","52279","00000199","","0","0"
"1","06SEPPP122","4.7","8000","0","yes","4.69998","16","0","53629","00000215","","0","0"
"1","01MS10","10.5","5100","0","yes","0","16","0","53673","00000146","","0","0"
"1","05TANQV1LTS","17713.3","1","0","yes","13006.87","16","0","54881","00000200","","0","0"
"2","05TANQV5000LT","7694.11","1","0","yes","0","16","0","54881","00000200","","0","0"
"1","05CISRP500","8315.44","1","0","yes","7881.9","16","0","54890","00000201","","0","0"
"1","05CAKENTD","885.5998","24","0","yes","886","16","0","54903","00000202","","0","0"
"1","01CEMCAZ50","94.181","1020","0","yes","94.181","16","0","54930","00000203","","0","0"
"1","03LAMLC24","1058.4","17","0","yes","0","16","0","54934","00000204","","0","0"
"1","01BLO12","4.9569","7000","0","yes","5.0431","16","0","54955","00001115","","0","0"
"1","01CEMCAZ50","94.181","1020","0","yes","94.181","16","0","54987","00000205","","0","0"
"1","01CAL","37.2","1200","0","yes","37.95","16","0","55061","00000176","","0","0"
"1","01BLO15","4.9138","800","0","yes","4.9138","16","0","55119","00000223","","0","0"
"1","01BLO15","4.9138","800","0","yes","4.9138","16","0","55312","00000224","","0","0"
"1","05TUBGALV2","639.35","45","0","yes","619.00818","16","0","55692","00000168","","0","0"
"2","05COPGAL2","23.8","26","0","yes","0","16","0","55692","00000168","","0","0"
"3","06BR2","112","2","0","yes","0","16","0","55692","00000168","","0","0"
"1","01CEMCAZ50","94.181","1020","0","yes","94.181","16","0","55750","00000197","","0","0"
"1","06MAG175","13","675","0","yes","13.16","16","0","55824","00000163","","0","0"
"1","01LAD","1.5","7590","0","yes","1.35","16","0","55865","00000164","","0","0"
"1","01ENS","15210","2","0","yes","0","0","0","55897","00000165","","0","0"
"2","01MOLF","15045.86","3","0","yes","0","0","0","55897","00000165","","0","0"
"1","01PR10","55","14","0","yes","37.5","16","0","55920","00000171","","0","0"
